日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2020-06-01|2020-06-30,手机保护套/壳,26439317,435734112,36892742,24.82%,11.44%,44.85%,4.66%,16.48,11.81
2020-06-01|2020-06-30,手机贴膜,19187710,216905673,20833768,11.78%,-0.14%,25.46%,0.67%,11.30,10.41
2020-06-01|2020-06-30,USB风扇,6695714,192571568,17917886,11.33%,82.34%,11.79%,64.81%,28.76,10.75
2020-06-01|2020-06-30,手机零部件,1463499,191137331,5589919,11.24%,18.71%,2.90%,1.50%,130.60,34.19
2020-06-01|2020-06-30,移动电源,2722842,185953408,6251301,11.05%,-24.42%,7.12%,-22.77%,68.29,29.75
2020-06-01|2020-06-30,手机数据线,6661032,162369910,9355649,7.29%,2.99%,11.78%,6.85%,24.38,17.36
2020-06-01|2020-06-30,手机支架/手机座,3621738,151502040,6886350,6.31%,87.20%,8.41%,42.05%,41.83,22.00
2020-06-01|2020-06-30,手机充电器,2273185,129593136,5702164,4.88%,24.35%,6.26%,11.80%,57.01,22.73
2020-06-01|2020-06-30,平板电脑保护套/壳,1928942,106230469,3449086,3.02%,25.57%,4.17%,28.16%,55.07,30.80
2020-06-01|2020-06-30,云台,213430,101483152,736072,2.89%,74.26%,0.12%,291.60%,475.49,137.87
2020-06-01|2020-06-30,影室灯,64922,100830559,459958,2.84%,94.97%,0.04%,99.64%,1553.10,219.22
2020-06-01|2020-06-30,数据线,3234516,77941633,5314787,1.02%,-4.63%,7.77%,-10.68%,24.10,14.67
2020-06-01|2020-06-30,手写笔,430174,75549636,1145285,0.98%,79.56%,0.40%,139.00%,175.63,65.97
2020-06-01|2020-06-30,笔记本零部件,97097,67609380,1744182,0.90%,17.77%,0.08%,-4.43%,696.31,38.76
2020-06-01|2020-06-30,手机电池,545307,53913299,2196958,0.85%,-9.19%,0.77%,-9.47%,98.87,24.54
2020-06-01|2020-06-30,普通干电池,1859571,52953862,1927245,0.85%,52.36%,3.42%,67.79%,28.48,27.48
2020-06-01|2020-06-30,其它配件,280142,50678349,2058886,0.82%,22.17%,0.28%,-12.54%,180.90,24.61
2020-06-01|2020-06-30,耳机保护套,1484602,47859044,3492400,0.72%,3.31%,2.90%,16.03%,32.24,13.70
2020-06-01|2020-06-30,笔记本电脑包,476012,40712171,1904760,0.66%,7.72%,0.50%,17.76%,85.53,21.37
2020-06-01|2020-06-30,背景布类,369905,34176427,1454524,0.53%,34.37%,0.35%,27.09%,92.39,23.50
2020-06-01|2020-06-30,遥控设备,1846877,32491195,2268412,0.48%,8.96%,3.38%,23.53%,17.59,14.32
2020-06-01|2020-06-30,USB HUB/转换器,366533,29850481,839924,0.43%,22.63%,0.34%,25.10%,81.44,35.54
2020-06-01|2020-06-30,手机镜头,278160,27296207,853710,0.39%,-7.97%,0.28%,17.65%,98.13,31.97
2020-06-01|2020-06-30,笔记本多功能支架/桌,368561,23083105,702409,0.35%,96.80%,0.35%,136.29%,62.63,32.86
2020-06-01|2020-06-30,脚架,64881,22880692,423983,0.35%,13.63%,0.04%,21.39%,352.66,53.97
2020-06-01|2020-06-30,笔记本电池,71223,22767262,337191,0.35%,21.49%,0.05%,21.15%,319.66,67.52
2020-06-01|2020-06-30,自拍杆/架,399291,21652509,789719,0.33%,-22.76%,0.37%,-18.16%,54.23,27.42
2020-06-01|2020-06-30,笔记本炫彩贴,355319,18668749,1575653,0.30%,36.33%,0.33%,39.07%,52.54,11.85
2020-06-01|2020-06-30,纽扣电池,697849,18667636,1138551,0.30%,22.71%,0.90%,32.87%,26.75,16.40
2020-06-01|2020-06-30,笔记本散热器/降温卡,242058,17933571,737194,0.28%,61.85%,0.21%,38.84%,74.09,24.33
2020-06-01|2020-06-30,USB电脑锁/防盗器,54624,17408380,298689,0.21%,23.69%,0.04%,36.14%,318.69,58.28
2020-06-01|2020-06-30,涂鸦笔,95334,17349284,440040,0.21%,236.13%,0.07%,297.36%,181.98,39.43
2020-06-01|2020-06-30,摄像机配件,26628,17094180,314508,0.13%,4.72%,0.02%,-0.54%,641.96,54.35
2020-06-01|2020-06-30,笔记本电源,97657,16720450,447559,0.13%,-2.40%,0.08%,11.18%,171.22,37.36
2020-06-01|2020-06-30,平板电脑屏幕贴膜,325111,13966942,523588,0.12%,36.66%,0.32%,40.06%,42.96,26.68
2020-06-01|2020-06-30,数码收纳整理包,310227,13886839,881815,0.11%,6.90%,0.31%,-21.32%,44.76,15.75
2020-06-01|2020-06-30,USB驱蚊器,186537,13849573,1186243,0.11%,59.68%,0.12%,84.20%,74.25,11.68
2020-06-01|2020-06-30,滤镜,45572,13485140,204054,0.11%,22.28%,0.03%,13.58%,295.91,66.09
2020-06-01|2020-06-30,手机挂件/手机链,457397,12354632,1746460,0.11%,-22.82%,0.46%,-33.60%,27.01,7.07
2020-06-01|2020-06-30,数码相机包,53102,11063263,325749,0.08%,-31.76%,0.04%,-24.60%,208.34,33.96
2020-06-01|2020-06-30,外拍灯,10444,11044742,73891,0.08%,65.24%,0.01%,121.65%,1057.52,149.47
2020-06-01|2020-06-30,平板电脑零部件,43378,10150275,309104,0.08%,26.88%,0.03%,23.54%,234.00,32.84
2020-06-01|2020-06-30,摄影棚,25285,9689871,81536,0.08%,-19.84%,0.02%,-18.21%,383.23,118.84
