日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2018-06-01|2018-06-30,手机保护套/壳,25437937,404071002,37470224,27.51%,11.59%,56.02%,-14.62%,15.88,10.78
2018-06-01|2018-06-30,手机贴膜,17057195,197629205,22273194,12.59%,24.71%,28.31%,-4.45%,11.59,8.87
2018-06-01|2018-06-30,移动电源,3217998,192754783,9607450,11.86%,19.95%,8.96%,11.20%,59.90,20.06
2018-06-01|2018-06-30,手机零部件,1374294,187461595,6131919,11.41%,-3.46%,3.79%,-33.61%,136.41,30.57
2018-06-01|2018-06-30,手机数据线,4124323,155128125,7188860,7.98%,11.13%,11.35%,11.34%,37.61,21.58
2018-06-01|2018-06-30,USB风扇,2224452,118188238,9711139,5.42%,107.84%,7.62%,41.67%,53.13,12.17
2018-06-01|2018-06-30,手机充电器,2088253,112642501,5714414,5.11%,92.22%,6.98%,68.50%,53.94,19.71
2018-06-01|2018-06-30,手机支架/手机座,2122614,83242521,5584233,2.84%,22.63%,7.28%,-8.59%,39.22,14.91
2018-06-01|2018-06-30,手机电池,698274,79428179,2328412,2.82%,38.15%,1.58%,-4.41%,113.75,34.11
2018-06-01|2018-06-30,平板电脑保护套/壳,893769,70917370,2305088,2.14%,-5.22%,2.94%,-16.78%,79.35,30.77
2018-06-01|2018-06-30,数据线,2822603,63271047,5308127,1.58%,-5.23%,8.13%,-8.00%,22.42,11.92
2018-06-01|2018-06-30,笔记本零部件,77391,62459334,584271,1.58%,-19.49%,0.08%,-36.79%,807.06,106.90
2018-06-01|2018-06-30,其它配件,296718,49725008,2239240,0.92%,-24.77%,0.33%,-32.96%,167.58,22.21
2018-06-01|2018-06-30,影室灯,43197,31736311,240104,0.67%,39.46%,0.03%,31.20%,734.69,132.18
2018-06-01|2018-06-30,笔记本电脑包,400379,31447511,1544241,0.67%,-6.90%,0.46%,3.18%,78.54,20.36
2018-06-01|2018-06-30,手机镜头,239496,31312284,1308322,0.66%,176.18%,0.32%,88.18%,130.74,23.93
2018-06-01|2018-06-30,普通干电池,612639,31130472,1227634,0.66%,61.86%,1.32%,28.56%,50.81,25.36
2018-06-01|2018-06-30,云台,25889,30919642,315321,0.62%,135.77%,0.02%,83.32%,1194.32,98.06
2018-06-01|2018-06-30,自拍杆/架,455673,27738895,1178579,0.48%,11.35%,0.59%,7.74%,60.87,23.54
2018-06-01|2018-06-30,遥控设备,836829,27663907,1970783,0.48%,19.52%,2.85%,15.16%,33.06,14.04
2018-06-01|2018-06-30,背景布类,224335,20985789,1088036,0.40%,41.93%,0.30%,22.86%,93.55,19.29
2018-06-01|2018-06-30,USB HUB/转换器,219643,18897357,594809,0.36%,41.31%,0.30%,11.60%,86.04,31.77
2018-06-01|2018-06-30,脚架,51208,18861484,312130,0.36%,-12.42%,0.04%,-25.18%,368.33,60.43
2018-06-01|2018-06-30,分配器/分频器/分支器,33992,18688109,101584,0.35%,405.01%,0.03%,66.25%,549.78,183.97
2018-06-01|2018-06-30,耳机保护套,295345,18602548,750746,0.35%,212.85%,0.33%,48.35%,62.99,24.78
2018-06-01|2018-06-30,摄像机配件,27424,17689439,394650,0.33%,-18.50%,0.02%,-15.08%,645.03,44.82
2018-06-01|2018-06-30,手写笔,61694,17105217,417766,0.31%,211.05%,0.05%,67.09%,277.26,40.94
