日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2018-09-01|2018-09-30,手机保护套/壳,25411366,394597052,37001490,26.65%,-3.43%,55.11%,-24.03%,15.53,10.66
2018-09-01|2018-09-30,移动电源,3502390,208491563,11411471,13.64%,19.21%,11.06%,11.87%,59.53,18.27
2018-09-01|2018-09-30,手机贴膜,17264532,198812075,20889153,12.84%,19.35%,29.13%,-8.49%,11.52,9.52
2018-09-01|2018-09-30,手机零部件,1160793,185885574,5597427,11.38%,-14.07%,3.12%,-35.30%,160.14,33.21
2018-09-01|2018-09-30,手机数据线,4582727,155623457,7698321,8.09%,7.94%,11.69%,11.47%,33.96,20.22
2018-09-01|2018-09-30,手机充电器,2116810,117833134,6144265,5.50%,87.11%,7.22%,68.36%,55.67,19.18
2018-09-01|2018-09-30,手机支架/手机座,2232214,87754225,5484227,2.95%,36.89%,7.72%,14.38%,39.31,16.00
2018-09-01|2018-09-30,平板电脑保护套/壳,1088334,84971636,2728374,2.89%,11.05%,3.01%,-8.15%,78.07,31.14
2018-09-01|2018-09-30,手机电池,697541,83615432,2720544,2.85%,26.03%,1.58%,-15.96%,119.87,30.73
2018-09-01|2018-09-30,数据线,3278736,78033937,5509546,2.81%,-3.45%,9.14%,-0.26%,23.80,14.16
2018-09-01|2018-09-30,笔记本零部件,78842,68629519,600647,1.93%,-31.29%,0.08%,-42.59%,870.47,114.26
2018-09-01|2018-09-30,其它配件,296532,47712087,2297907,0.91%,-24.02%,0.33%,-32.01%,160.90,20.76
2018-09-01|2018-09-30,笔记本电脑包,429539,33882750,1824068,0.83%,-4.26%,0.49%,-4.36%,78.88,18.58
2018-09-01|2018-09-30,影室灯,43184,31617283,242029,0.67%,27.72%,0.03%,19.57%,732.15,130.63
2018-09-01|2018-09-30,手机镜头,177882,30201042,775125,0.54%,84.26%,0.27%,40.76%,169.78,38.96
2018-09-01|2018-09-30,普通干电池,596910,30169199,1376636,0.54%,40.64%,1.03%,27.66%,50.54,21.92
2018-09-01|2018-09-30,云台,25849,28900425,310568,0.52%,47.39%,0.02%,47.95%,1118.05,93.06
2018-09-01|2018-09-30,背景布类,237748,24660251,874583,0.46%,35.97%,0.31%,11.74%,103.72,28.20
2018-09-01|2018-09-30,自拍杆/架,365969,21286358,705062,0.40%,-3.89%,0.40%,-3.39%,58.16,30.19
2018-09-01|2018-09-30,USB HUB/转换器,231994,19507918,608068,0.39%,35.73%,0.31%,11.73%,84.09,32.08
2018-09-01|2018-09-30,遥控设备,507168,18851064,946518,0.37%,17.98%,0.87%,11.79%,37.17,19.92
2018-09-01|2018-09-30,笔记本电池,53311,18283536,254186,0.34%,6.26%,0.04%,-16.60%,342.96,71.93
2018-09-01|2018-09-30,脚架,47672,18276096,291895,0.34%,-17.49%,0.03%,-31.38%,383.37,62.61
2018-09-01|2018-09-30,耳机保护套,377440,17577281,884228,0.33%,99.62%,0.43%,68.62%,46.57,19.88
2018-09-01|2018-09-30,USB风扇,359500,17434302,1651307,0.32%,51.85%,0.40%,15.54%,48.50,10.56
2018-09-01|2018-09-30,纽扣电池,526379,17168947,883282,0.32%,25.00%,0.88%,23.05%,32.62,19.44
2018-09-01|2018-09-30,摄像机配件,25426,16978538,359332,0.31%,-21.61%,0.02%,-24.67%,667.76,47.25
2018-09-01|2018-09-30,手写笔,67038,14270612,446386,0.30%,89.67%,0.06%,48.56%,212.87,31.97
2018-09-01|2018-09-30,笔记本炫彩贴,226077,14235939,884721,0.30%,21.14%,0.30%,-0.80%,62.97,16.09
2018-09-01|2018-09-30,笔记本膝上桌,329656,13915836,1978336,0.28%,308.01%,0.39%,331.19%,42.21,7.03
2018-09-01|2018-09-30,数码相机包,53570,13810793,317187,0.28%,-16.72%,0.04%,-24.86%,257.81,43.54
2018-09-01|2018-09-30,笔记本电源,77039,13337060,376979,0.27%,-24.01%,0.08%,-18.51%,173.12,35.38
2018-09-01|2018-09-30,通用电池充电套装,111426,12459905,360120,0.21%,-17.75%,0.13%,-18.79%,111.82,34.60
2018-09-01|2018-09-30,苹果视频线/转换线,69912,11376777,473275,0.12%,39.08%,0.06%,28.26%,162.73,24.04
2018-09-01|2018-09-30,分配器/分频器/分支器,25413,11375951,91554,0.12%,214.18%,0.02%,22.14%,447.64,124.25
2018-09-01|2018-09-30,手机挂件/手机链,452698,10195910,1844234,0.12%,60.68%,0.54%,23.69%,22.52,5.53
2018-09-01|2018-09-30,摄影棚,25306,10139785,96093,0.12%,18.79%,0.02%,0.45%,400.69,105.52
2018-09-01|2018-09-30,数码收纳整理包,243752,9915821,706118,0.12%,11.21%,0.32%,8.04%,40.68,14.04
2018-09-01|2018-09-30,USB加湿器,97740,9815183,495152,0.11%,777.55%,0.12%,774.68%,100.42,19.82
2018-09-01|2018-09-30,USB电脑锁/防盗器,43131,9560387,116181,0.11%,76.58%,0.03%,67.43%,221.66,82.29
2018-09-01|2018-09-30,滤镜,42903,9514833,96172,0.11%,-3.82%,0.03%,-20.16%,221.78,98.94
2018-09-01|2018-09-30,平板电脑零部件,43245,9057991,309867,0.11%,-16.80%,0.03%,-33.39%,209.46,29.23
2018-09-01|2018-09-30,USB翻页激光笔,132859,9045824,154370,0.11%,21.30%,0.21%,87.62%,68.09,58.60
2018-09-01|2018-09-30,读卡器,108657,7473696,401894,0.09%,0.32%,0.12%,8.25%,68.78,18.60
2018-09-01|2018-09-30,笔记本散热器/降温卡,91863,7371810,473572,0.08%,-8.92%,0.09%,-35.35%,80.25,15.57
2018-09-01|2018-09-30,笔记本多功能支架/桌,69092,7034303,395479,0.08%,22.45%,0.06%,55.20%,101.81,17.79
2018-09-01|2018-09-30,数码相机电池,44993,6768058,96233,0.08%,5.72%,0.03%,-6.91%,150.42,70.33
2018-09-01|2018-09-30,笔记本键盘保护膜,342945,6289569,698428,0.06%,-3.46%,0.40%,-10.87%,18.34,9.01
2018-09-01|2018-09-30,平板电脑屏幕贴膜,128097,6234746,382954,0.06%,-31.40%,0.21%,-33.40%,48.67,16.28
2018-09-01|2018-09-30,耳机绕线器,447529,6210796,792649,0.06%,8.00%,0.53%,-19.44%,13.88,7.84
2018-09-01|2018-09-30,相机闪光灯,6211,5760287,50703,0.05%,-24.59%,-,-28.10%,927.43,113.61
2018-09-01|2018-09-30,视频线/音频线/AV线,110411,5693246,499801,0.05%,53.95%,0.12%,53.08%,51.56,11.39
2018-09-01|2018-09-30,快显胶片,25285,5676657,71795,0.05%,-17.60%,0.02%,-18.43%,224.51,79.07
2018-09-01|2018-09-30,数码维修工具,44588,5660785,310025,0.05%,27.82%,0.03%,48.38%,126.96,18.26
2018-09-01|2018-09-30,防潮箱,9883,5622658,47175,0.05%,7.74%,0.01%,7.97%,568.92,119.19
2018-09-01|2018-09-30,转接环,6934,5357651,47429,0.04%,5.83%,-,-22.74%,772.66,112.96
2018-09-01|2018-09-30,笔记本屏幕贴膜,54225,5230175,317181,0.04%,11.79%,0.05%,-8.62%,96.45,16.49
2018-09-01|2018-09-30,PDA/掌上电脑,2394,4941555,53947,0.04%,-4.44%,-,-23.19%,2064.14,91.60
2018-09-01|2018-09-30,胶卷,12288,4431393,54281,0.04%,28.02%,0.01%,11.70%,360.63,81.64
2018-09-01|2018-09-30,车载充电器,50834,4400401,444481,0.04%,-3.48%,0.04%,-6.95%,86.56,9.90
2018-09-01|2018-09-30,外拍灯,2746,3797599,43274,0.04%,74.66%,-,68.04%,1382.96,87.76
2018-09-01|2018-09-30,数码显微镜,5761,3652393,52671,0.04%,21.55%,-,7.93%,633.99,69.34
2018-09-01|2018-09-30,辅助道具类,43226,3530322,254515,0.04%,-33.17%,0.03%,-34.17%,81.67,13.87
2018-09-01|2018-09-30,灯附件,10657,3342742,47658,0.03%,7.41%,0.01%,-9.42%,313.67,70.14
2018-09-01|2018-09-30,手机贴纸,96101,3327253,508913,0.03%,-1.68%,0.11%,-34.97%,34.62,6.54
2018-09-01|2018-09-30,射频器/转换器,10240,2963316,59313,0.03%,-21.61%,0.01%,-24.47%,289.39,49.96
2018-09-01|2018-09-30,18650电池,9889,2891933,74429,0.03%,11.27%,0.01%,-20.70%,292.44,38.85
2018-09-01|2018-09-30,清洁套装,89555,2891163,296420,0.03%,-1.41%,0.09%,-22.76%,32.28,9.75
2018-09-01|2018-09-30,涂鸦笔,14983,2883606,72852,0.03%,41.37%,0.01%,89.00%,192.46,39.58
2018-09-01|2018-09-30,手机防尘塞,49264,2649830,392208,0.03%,25.49%,0.03%,-18.49%,53.79,6.76
2018-09-01|2018-09-30,平板电脑支架,17649,2287179,81830,0.03%,-34.02%,0.01%,-36.64%,129.59,27.95
2018-09-01|2018-09-30,数码相框,2064,2124759,43216,0.03%,-18.95%,-,-22.58%,1029.44,49.17
2018-09-01|2018-09-30,3G无线上网卡设备,7033,2033020,61902,0.02%,-34.69%,-,-27.05%,289.07,32.84
2018-09-01|2018-09-30,USB灯,54257,1947985,427899,0.02%,-2.53%,0.05%,-21.17%,35.90,4.55
2018-09-01|2018-09-30,电子书保护套,43580,1922528,150533,0.02%,-33.94%,0.03%,-34.50%,44.11,12.77
2018-09-01|2018-09-30,平板电脑外接键盘,5499,1880927,243105,0.02%,-31.34%,-,-7.97%,342.05,7.74
2018-09-01|2018-09-30,相机背带,13622,1877529,60144,0.02%,0.45%,0.01%,-8.03%,137.83,31.22
2018-09-01|2018-09-30,摄影包,3841,1825139,52616,0.02%,-3.58%,-,-21.59%,475.17,34.69
2018-09-01|2018-09-30,苹果卡槽,52255,1809224,296414,0.02%,-31.64%,0.04%,-22.83%,34.62,6.10
2018-09-01|2018-09-30,USB延长线,43905,1736092,77830,0.02%,-0.33%,0.03%,-4.61%,39.54,22.31
2018-09-01|2018-09-30,闪光灯配件,9225,1635111,43218,0.02%,-12.18%,0.01%,-17.44%,177.25,37.83
2018-09-01|2018-09-30,笔记本个性小贴纸,49867,1484869,453713,0.02%,0.05%,0.04%,17.24%,29.78,3.27
2018-09-01|2018-09-30,手机智能按键,1938,1299047,13248,0.01%,254.51%,-,51.09%,670.30,98.06
2018-09-01|2018-09-30,USB吸尘器,27578,1297028,82670,0.01%,410.43%,0.02%,395.25%,47.03,15.69
2018-09-01|2018-09-30,数码相机充电器,16705,1247218,48564,0.01%,-31.44%,0.01%,-27.15%,74.66,25.68
2018-09-01|2018-09-30,插头/接口,18121,1241521,83631,0.01%,-5.11%,0.01%,19.44%,68.51,14.85
2018-09-01|2018-09-30,柔光器具,5511,1240456,24376,0.01%,11.41%,-,-32.38%,225.09,50.89
2018-09-01|2018-09-30,镜头纸/镜头布,13261,1210735,43261,0.01%,-17.33%,0.01%,-20.77%,91.30,27.99
2018-09-01|2018-09-30,校色仪,929,1207495,8764,0.01%,87.50%,-,31.29%,1299.78,137.78
2018-09-01|2018-09-30,单反手柄,2066,1197061,27495,0.01%,-27.88%,-,-18.79%,579.41,43.54
2018-09-01|2018-09-30,节电器/省电器,10190,1184970,52235,0.01%,-31.55%,0.01%,-10.89%,116.29,22.69
2018-09-01|2018-09-30,触摸屏手套,24362,1171096,79627,0.01%,168.51%,0.02%,172.86%,48.07,14.71
2018-09-01|2018-09-30,电视高压包,19331,1170229,43216,0.01%,-31.65%,0.02%,-35.90%,60.54,27.08
2018-09-01|2018-09-30,快门线,8813,1166458,41898,0.01%,-16.84%,0.01%,-25.86%,132.36,27.84
2018-09-01|2018-09-30,说明书/使用指南,5650,1148336,43798,0.01%,238.31%,-,-85.91%,203.25,26.22
2018-09-01|2018-09-30,快装板,8599,1148268,27391,0.01%,-0.14%,0.01%,11.77%,133.54,41.92
2018-09-01|2018-09-30,清洁液,10504,1066902,28981,0.01%,17.79%,0.01%,-24.47%,101.57,36.81
2018-09-01|2018-09-30,USB暖手宝/暖手袋,6564,1035426,50848,0.01%,371.54%,-,211.32%,157.74,20.36
2018-09-01|2018-09-30,点读机/点读笔配件,10216,1001093,45509,0.01%,-32.78%,0.01%,-33.29%,97.99,22.00
2018-09-01|2018-09-30,单反/单电电池,2329,1000019,24833,0.01%,-34.12%,-,-35.89%,429.38,40.27
2018-09-01|2018-09-30,擦屏布,12746,973309,48718,0.01%,23.55%,0.01%,9.22%,76.36,19.98
2018-09-01|2018-09-30,反光器具,9858,959230,29475,0.01%,-5.90%,0.01%,-9.59%,97.30,32.54
2018-09-01|2018-09-30,遮光罩,9879,910631,43144,0.01%,-24.58%,0.01%,-32.02%,92.18,21.11
2018-09-01|2018-09-30,USB多功能数码宝,1800,860408,16362,0.01%,283.00%,-,-3.90%,478.00,52.59
2018-09-01|2018-09-30,MP3/MP4保护套,2039,845379,25258,0.01%,69.30%,-,-4.95%,414.60,33.47
2018-09-01|2018-09-30,USB驱蚊器,5793,844117,60595,0.01%,810.62%,-,308.30%,145.71,13.93
2018-09-01|2018-09-30,18650电池盒,9787,818922,44839,0.01%,-0.06%,0.01%,-21.62%,83.67,18.26
2018-09-01|2018-09-30,摄影台/静物台,2115,800340,11051,0.01%,-34.36%,-,-34.23%,378.41,72.42
2018-09-01|2018-09-30,镜头盖,16326,782330,43646,0.01%,-31.54%,0.01%,-24.01%,47.92,17.92
2018-09-01|2018-09-30,电子书灯,13296,770123,69043,0.01%,-34.07%,0.01%,-31.38%,57.92,11.15
2018-09-01|2018-09-30,3D立体眼镜,1848,759721,23580,0.01%,-43.79%,-,-50.01%,411.10,32.22
2018-09-01|2018-09-30,VGA切换器,8536,729660,27417,-,-9.95%,-,-24.30%,85.48,26.61
2018-09-01|2018-09-30,脚架配件,2110,723852,14958,-,24.59%,-,-10.31%,343.06,48.39
2018-09-01|2018-09-30,平板电脑底座,1218,722344,18847,-,-32.90%,-,-23.10%,593.06,38.33
2018-09-01|2018-09-30,相机腕带,6639,698383,27556,-,5.50%,-,-8.46%,105.19,25.34
2018-09-01|2018-09-30,遥控器,10184,698365,46348,-,-32.28%,0.01%,-7.58%,68.57,15.07
2018-09-01|2018-09-30,测光表,158,645002,3597,-,11.59%,-,-48.17%,4082.29,179.32
2018-09-01|2018-09-30,平板电脑充电器,4807,631561,25119,-,-35.57%,-,-45.70%,131.38,25.14
2018-09-01|2018-09-30,脚架包,2109,616832,10046,-,-14.07%,-,9.10%,292.48,61.40
2018-09-01|2018-09-30,平板电脑包,5951,604879,51396,-,-88.02%,-,25.36%,101.64,11.77
2018-09-01|2018-09-30,闪存卡转接套,10374,594826,77621,-,-24.26%,0.01%,-21.57%,57.34,7.66
2018-09-01|2018-09-30,F头,5179,577663,20337,-,-24.97%,-,-19.33%,111.54,28.40
2018-09-01|2018-09-30,无线传输设备,676,563733,6566,-,21.99%,-,-24.10%,833.92,85.86
2018-09-01|2018-09-30,隔离器/耦合器,1791,559075,10060,-,14.38%,-,-9.40%,312.16,55.57
2018-09-01|2018-09-30,电子辞典/学习机配件,2120,526643,25100,-,-32.82%,-,-48.79%,248.42,20.98
2018-09-01|2018-09-30,照片夹子,24112,525741,72668,-,7.28%,0.02%,20.75%,21.80,7.23
2018-09-01|2018-09-30,RF头,1950,522060,12387,-,-22.84%,-,-25.10%,267.72,42.15
2018-09-01|2018-09-30,微波炉面板,8384,498475,16594,-,17.76%,-,-15.64%,59.46,30.04
2018-09-01|2018-09-30,数码设备外接键盘,2641,497213,44906,-,-25.20%,-,64.90%,188.27,11.07
2018-09-01|2018-09-30,取景器,967,489865,11967,-,-34.34%,-,-11.63%,506.58,40.93
2018-09-01|2018-09-30,苹果取卡针,25420,482851,44836,-,-0.18%,0.02%,6.52%,18.99,10.77
