日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2018-07-01|2018-07-31,手机保护套/壳,25829303,425663124,40086573,27.67%,15.16%,55.03%,-16.17%,16.48,10.62
2018-07-01|2018-07-31,手机贴膜,18342596,201286090,21878448,12.12%,25.27%,29.19%,-0.41%,10.97,9.20
2018-07-01|2018-07-31,移动电源,3052955,193316917,9795948,11.78%,24.77%,8.15%,12.09%,63.32,19.73
2018-07-01|2018-07-31,手机零部件,1737861,190467645,6668086,11.69%,0.09%,4.14%,-33.34%,109.60,28.56
2018-07-01|2018-07-31,手机数据线,4972570,160230828,8911280,7.98%,11.28%,11.66%,13.79%,32.22,17.98
2018-07-01|2018-07-31,USB风扇,2228453,117448186,9685118,4.98%,68.38%,7.28%,27.77%,52.70,12.13
2018-07-01|2018-07-31,手机充电器,2193375,114917897,6294329,4.92%,90.28%,6.98%,71.95%,52.39,18.26
2018-07-01|2018-07-31,手机电池,821724,100248702,2949491,3.42%,63.67%,2.62%,0.89%,122.00,33.99
2018-07-01|2018-07-31,手机支架/手机座,2223190,95243262,6258059,3.00%,56.73%,7.28%,0.50%,42.84,15.22
2018-07-01|2018-07-31,平板电脑保护套/壳,1351964,88842642,3019778,2.85%,8.90%,3.31%,-9.04%,65.71,29.42
2018-07-01|2018-07-31,数据线,3111289,74993158,5500582,1.84%,-1.24%,8.25%,-6.34%,24.10,13.63
2018-07-01|2018-07-31,笔记本零部件,79453,74797937,602766,1.84%,-17.18%,0.08%,-40.73%,941.41,124.09
2018-07-01|2018-07-31,其它配件,297554,50006167,2311613,0.90%,-18.06%,0.33%,-32.19%,168.06,21.63
2018-07-01|2018-07-31,手机镜头,244069,32494672,1374393,0.66%,168.51%,0.31%,86.23%,133.14,23.64
2018-07-01|2018-07-31,影室灯,43141,31659513,243752,0.62%,50.83%,0.03%,41.38%,733.86,129.88
2018-07-01|2018-07-31,遥控设备,1227914,31406366,2190021,0.59%,-0.81%,3.02%,-14.00%,25.58,14.34
2018-07-01|2018-07-31,笔记本电脑包,381908,31186204,1744919,0.54%,-0.81%,0.40%,7.93%,81.66,17.87
2018-07-01|2018-07-31,自拍杆/架,486006,30955293,1358771,0.53%,23.44%,0.77%,38.76%,63.69,22.78
2018-07-01|2018-07-31,普通干电池,607064,30176269,1433127,0.51%,42.63%,0.99%,22.30%,49.71,21.06
2018-07-01|2018-07-31,云台,26742,28522566,314476,0.47%,90.03%,0.02%,87.34%,1066.58,90.70
2018-07-01|2018-07-31,分配器/分频器/分支器,25906,23853249,175471,0.41%,452.27%,0.02%,41.37%,920.76,135.94
2018-07-01|2018-07-31,背景布类,239457,23641990,1310948,0.40%,52.69%,0.31%,24.61%,98.73,18.03
2018-07-01|2018-07-31,USB HUB/转换器,220239,19387300,607226,0.36%,58.36%,0.30%,19.77%,88.03,31.93
2018-07-01|2018-07-31,脚架,49009,18437808,306833,0.33%,-4.35%,0.03%,-24.35%,376.21,60.09
2018-07-01|2018-07-31,笔记本电池,52613,17427521,232510,0.31%,11.74%,0.04%,-8.00%,331.24,74.95
