日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2019-05-01|2019-05-31,手机保护套/壳,25189327,376438826,36382188,25.23%,0.32%,48.92%,7.29%,14.94,10.35
2019-05-01|2019-05-31,手机贴膜,16966053,209172686,20843711,13.23%,18.62%,26.16%,9.83%,12.33,10.04
2019-05-01|2019-05-31,移动电源,3028175,189628792,9019082,11.60%,8.97%,8.12%,19.24%,62.62,21.03
2019-05-01|2019-05-31,手机零部件,1545236,187641882,5561010,11.35%,-0.29%,3.78%,11.19%,121.43,33.74
2019-05-01|2019-05-31,USB风扇,3957127,165743834,12886988,8.37%,46.23%,11.19%,38.07%,41.88,12.86
2019-05-01|2019-05-31,手机数据线,5382026,155653571,9151278,7.89%,17.23%,11.75%,27.77%,28.92,17.01
2019-05-01|2019-05-31,手机充电器,2053601,106375716,5312289,4.66%,2.83%,6.14%,2.86%,51.80,20.02
2019-05-01|2019-05-31,手机支架/手机座,2218752,96135743,6207198,3.05%,31.51%,7.19%,11.91%,43.33,15.49
2019-05-01|2019-05-31,平板电脑保护套/壳,883081,82898977,2298556,2.62%,31.80%,2.84%,21.21%,93.87,36.07
2019-05-01|2019-05-31,数据线,3333051,78776083,5325866,2.48%,13.27%,8.90%,17.59%,23.63,14.79
2019-05-01|2019-05-31,手机电池,572116,57339942,2198470,1.06%,-8.50%,0.88%,-8.50%,100.22,26.08
2019-05-01|2019-05-31,笔记本零部件,83826,54114915,874022,0.99%,-11.14%,0.08%,11.33%,645.56,61.91
2019-05-01|2019-05-31,其它配件,277931,47697226,2082005,0.88%,-7.01%,0.32%,0.01%,171.62,22.91
2019-05-01|2019-05-31,云台,47969,45381278,472773,0.86%,57.65%,0.03%,102.95%,946.05,95.99
2019-05-01|2019-05-31,影室灯,43218,37427135,297139,0.83%,25.60%,0.03%,9.29%,866.01,125.96
2019-05-01|2019-05-31,耳机保护套,732340,33749869,2230417,0.77%,296.08%,1.59%,306.31%,46.08,15.13
2019-05-01|2019-05-31,笔记本电脑包,368371,30831019,1310001,0.53%,10.83%,0.40%,13.54%,83.70,23.54
2019-05-01|2019-05-31,背景布类,302655,29403112,1134803,0.51%,25.01%,0.33%,21.16%,97.15,25.91
2019-05-01|2019-05-31,普通干电池,591870,29081597,835446,0.50%,11.19%,0.91%,11.47%,49.14,34.81
2019-05-01|2019-05-31,自拍杆/架,430050,28380334,1137887,0.47%,19.15%,0.47%,9.17%,65.99,24.94
2019-05-01|2019-05-31,手机镜头,210332,27962982,782654,0.47%,8.92%,0.28%,-2.39%,132.95,35.73
2019-05-01|2019-05-31,遥控设备,754210,27010936,1788404,0.46%,-8.97%,1.84%,-9.86%,35.81,15.10
2019-05-01|2019-05-31,手写笔,96640,26882459,527386,0.46%,132.34%,0.09%,86.56%,278.17,50.97
2019-05-01|2019-05-31,USB HUB/转换器,255383,22179278,698293,0.40%,22.39%,0.31%,21.83%,86.85,31.76
2019-05-01|2019-05-31,笔记本电池,62365,19463218,301588,0.38%,31.49%,0.05%,29.04%,312.09,64.54
2019-05-01|2019-05-31,脚架,52249,18603024,369741,0.33%,0.21%,0.04%,12.23%,356.05,50.31
2019-05-01|2019-05-31,纽扣电池,508347,17001158,792620,0.30%,26.37%,0.84%,25.49%,33.44,21.45
2019-05-01|2019-05-31,笔记本电源,85964,16607396,414163,0.30%,23.74%,0.08%,21.86%,193.19,40.10
2019-05-01|2019-05-31,摄像机配件,25493,14902857,351866,0.30%,-20.76%,0.02%,-9.04%,584.59,42.35
2019-05-01|2019-05-31,手机挂件/手机链,493630,14104177,1933566,0.27%,40.82%,0.81%,28.17%,28.57,7.29
2019-05-01|2019-05-31,USB电脑锁/防盗器,50039,14077101,250246,0.27%,52.61%,0.03%,103.28%,281.32,56.25
2019-05-01|2019-05-31,摄影棚,27198,12592497,97312,0.13%,23.82%,0.02%,11.21%,462.99,129.40
2019-05-01|2019-05-31,USB驱蚊器,84053,12429450,750672,0.13%,759.26%,0.08%,456.17%,147.88,16.56
2019-05-01|2019-05-31,数码相机包,53277,12425188,365202,0.13%,0.94%,0.04%,2.94%,233.22,34.02
2019-05-01|2019-05-31,笔记本炫彩贴,192216,12341188,753808,0.13%,30.75%,0.26%,25.40%,64.20,16.37
2019-05-01|2019-05-31,通用电池充电套装,100675,11393769,360613,0.12%,-3.88%,0.11%,-22.87%,113.17,31.60
2019-05-01|2019-05-31,USB加湿器,100687,10562698,704062,0.12%,86.18%,0.11%,71.22%,104.91,15.00
2019-05-01|2019-05-31,笔记本多功能支架/桌,84070,10340455,448756,0.11%,54.14%,0.08%,67.82%,123.00,23.04
2019-05-01|2019-05-31,分配器/分频器/分支器,24998,10250359,95147,0.11%,-4.26%,0.02%,-3.92%,410.05,107.73
2019-05-01|2019-05-31,数码收纳整理包,274752,9801082,874132,0.11%,-6.80%,0.32%,25.04%,35.67,11.21
2019-05-01|2019-05-31,笔记本散热器/降温卡,96218,9204199,486291,0.09%,-3.16%,0.09%,-24.61%,95.66,18.93
2019-05-01|2019-05-31,苹果视频线/转换线,58296,7619324,414810,0.08%,6.53%,0.04%,21.15%,130.70,18.37
2019-05-01|2019-05-31,平板电脑屏幕贴膜,177448,7470441,428424,0.08%,43.95%,0.21%,-0.10%,42.10,17.44
2019-05-01|2019-05-31,平板电脑零部件,42528,7396902,230016,0.08%,-20.49%,0.03%,-13.91%,173.93,32.16
2019-05-01|2019-05-31,滤镜,42940,7273773,101850,0.08%,-2.67%,0.03%,0.40%,169.39,71.42
2019-05-01|2019-05-31,数码相机电池,47564,7125555,110367,0.08%,18.61%,0.03%,17.63%,149.81,64.56
2019-05-01|2019-05-31,读卡器,94041,7031775,381154,0.08%,11.19%,0.08%,-0.86%,74.77,18.45
2019-05-01|2019-05-31,数码维修工具,51419,6968210,357454,0.08%,66.23%,0.04%,36.99%,135.52,19.49
2019-05-01|2019-05-31,耳机绕线器,449463,6933987,1142711,0.08%,65.16%,0.50%,23.87%,15.43,6.07
2019-05-01|2019-05-31,涂鸦笔,43173,6874919,97339,0.07%,56.56%,0.03%,67.92%,159.24,70.63
2019-05-01|2019-05-31,相机闪光灯,7057,6694465,51689,0.07%,23.66%,-,-5.53%,948.63,129.51
2019-05-01|2019-05-31,快显胶片,43173,6372356,100353,0.06%,6.68%,0.03%,21.99%,147.60,63.50
