日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2018-11-01|2018-11-30,手机保护套/壳,26598234,475269435,37868359,27.52%,23.91%,55.92%,21.51%,17.87,12.55
2018-11-01|2018-11-30,移动电源,4149593,224653762,12213805,13.71%,34.21%,11.22%,38.82%,54.14,18.39
2018-11-01|2018-11-30,手机贴膜,17857192,219889301,21380187,12.59%,24.61%,26.82%,18.75%,12.31,10.28
2018-11-01|2018-11-30,手机零部件,1377862,185624555,5576387,11.14%,37.32%,3.03%,41.76%,134.72,33.29
2018-11-01|2018-11-30,手机数据线,6251325,172145820,9711908,8.08%,40.27%,12.10%,61.74%,27.54,17.73
2018-11-01|2018-11-30,手机充电器,2280300,140426615,7175091,6.13%,68.25%,7.29%,72.10%,61.58,19.57
2018-11-01|2018-11-30,平板电脑保护套/壳,1622232,101971232,3144931,3.01%,56.42%,3.56%,21.00%,62.86,32.42
2018-11-01|2018-11-30,手机电池,838843,101353459,3210731,2.99%,56.54%,2.32%,31.29%,120.83,31.57
2018-11-01|2018-11-30,手机支架/手机座,2287487,92665356,5667224,2.82%,60.81%,7.32%,42.36%,40.51,16.35
2018-11-01|2018-11-30,数据线,3604243,86144912,6109730,2.14%,31.15%,10.74%,41.39%,23.90,14.10
2018-11-01|2018-11-30,笔记本零部件,81960,67153708,674444,0.95%,-1.10%,0.07%,7.17%,819.35,99.57
2018-11-01|2018-11-30,云台,49498,59811114,452414,0.91%,72.00%,0.03%,121.57%,1208.35,132.20
2018-11-01|2018-11-30,其它配件,419771,53896041,2280300,0.88%,19.33%,0.44%,32.33%,128.39,23.64
2018-11-01|2018-11-30,笔记本电脑包,465665,47846175,1870502,0.81%,17.62%,0.53%,17.77%,102.75,25.58
2018-11-01|2018-11-30,影室灯,44223,44159888,296062,0.76%,34.47%,0.03%,23.13%,998.57,149.16
2018-11-01|2018-11-30,普通干电池,756133,39516298,1860722,0.71%,53.68%,1.60%,48.42%,52.26,21.24
2018-11-01|2018-11-30,手机镜头,229281,31645366,836378,0.51%,86.28%,0.30%,25.06%,138.02,37.84
2018-11-01|2018-11-30,USB加湿器,485644,31111420,2023318,0.48%,289.91%,0.67%,272.95%,64.06,15.38
2018-11-01|2018-11-30,USB HUB/转换器,332736,28122403,752169,0.43%,66.08%,0.35%,44.86%,84.52,37.39
2018-11-01|2018-11-30,脚架,53894,27355042,340302,0.40%,-4.38%,0.04%,-10.08%,507.57,80.38
2018-11-01|2018-11-30,手写笔,97017,27181680,591761,0.40%,285.61%,0.09%,178.48%,280.17,45.93
2018-11-01|2018-11-30,背景布类,250843,26525318,945232,0.40%,33.33%,0.30%,23.83%,105.74,28.06
2018-11-01|2018-11-30,自拍杆/架,351933,22017683,683207,0.36%,27.90%,0.37%,20.69%,62.56,32.23
2018-11-01|2018-11-30,耳机保护套,462050,20303360,1756583,0.34%,130.08%,0.53%,116.77%,43.94,11.56
2018-11-01|2018-11-30,纽扣电池,725694,19382610,1628679,0.33%,36.85%,1.37%,44.62%,26.71,11.90
2018-11-01|2018-11-30,笔记本电池,62490,18881974,305703,0.32%,24.80%,0.05%,25.00%,302.16,61.77
2018-11-01|2018-11-30,摄像机配件,27005,18759188,382323,0.32%,11.41%,0.02%,11.34%,694.66,49.07
2018-11-01|2018-11-30,遥控设备,491537,18679005,871842,0.32%,25.02%,0.76%,23.68%,38.00,21.42
2018-11-01|2018-11-30,数码相机包,66592,17910084,366193,0.30%,-3.77%,0.05%,-8.46%,268.95,48.91
2018-11-01|2018-11-30,通用电池充电套装,228525,17904585,425732,0.30%,16.71%,0.30%,11.72%,78.35,42.06
2018-11-01|2018-11-30,笔记本炫彩贴,306990,17706663,1378378,0.30%,42.00%,0.33%,25.52%,57.68,12.85
2018-11-01|2018-11-30,数码收纳整理包,366798,17420588,982022,0.28%,67.45%,0.39%,56.64%,47.49,17.74
2018-11-01|2018-11-30,笔记本膝上桌,423968,17408303,1969558,0.28%,339.66%,0.45%,413.83%,41.06,8.84
2018-11-01|2018-11-30,笔记本电源,79045,13923385,414343,0.12%,20.28%,0.07%,25.08%,176.15,33.60
2018-11-01|2018-11-30,苹果视频线/转换线,73175,13692710,494274,0.12%,67.43%,0.06%,61.99%,187.12,27.70
2018-11-01|2018-11-30,USB暖手宝/暖手袋,69118,12980399,702427,0.12%,1018.95%,0.06%,1034.51%,187.80,18.48
2018-11-01|2018-11-30,摄影棚,27535,12854823,97653,0.12%,23.70%,0.02%,11.05%,466.85,131.64
