日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2020-01-01|2020-01-31,手机保护套/壳,24253389,369663062,36978926,32.45%,-25.12%,59.97%,-20.46%,15.24,10.00
2020-01-01|2020-01-31,手机贴膜,14422655,191771043,17606567,14.18%,-24.35%,25.57%,-24.22%,13.30,10.89
2020-01-01|2020-01-31,移动电源,2084249,175765587,5737458,11.36%,-35.11%,7.72%,-35.01%,84.33,30.63
2020-01-01|2020-01-31,手机零部件,699416,166439059,4912909,11.15%,-33.18%,2.62%,-32.06%,237.97,33.88
2020-01-01|2020-01-31,手机数据线,3910551,123424235,5604733,7.62%,-33.32%,11.45%,-22.87%,31.56,22.02
2020-01-01|2020-01-31,平板电脑保护套/壳,1240854,91743534,3240618,4.66%,-12.91%,4.40%,-6.05%,73.94,28.31
2020-01-01|2020-01-31,手机充电器,1744932,89885454,4121533,4.40%,-31.73%,5.28%,-24.02%,51.51,21.81
2020-01-01|2020-01-31,手机支架/手机座,1920093,70337652,3951985,2.98%,-9.45%,6.44%,-8.48%,36.63,17.80
2020-01-01|2020-01-31,手机电池,528945,64060017,2618542,2.89%,-35.26%,0.99%,-34.69%,121.11,24.46
2020-01-01|2020-01-31,云台,51371,36801725,483958,0.99%,21.41%,0.04%,27.60%,716.39,76.04
2020-01-01|2020-01-31,数据线,2174868,35586343,3850589,0.96%,-34.05%,7.79%,-31.55%,16.36,9.24
2020-01-01|2020-01-31,耳机保护套,836378,35423274,3398946,0.95%,88.76%,3.03%,137.35%,42.35,10.42
2020-01-01|2020-01-31,手写笔,189294,33646001,833524,0.92%,70.38%,0.31%,72.42%,177.74,40.37
2020-01-01|2020-01-31,其它配件,103081,28621765,1844178,0.77%,-33.61%,0.26%,-32.85%,277.66,15.52
2020-01-01|2020-01-31,笔记本零部件,54715,27560919,751701,0.67%,-35.57%,0.06%,-30.68%,503.72,36.66
2020-01-01|2020-01-31,普通干电池,587629,27315198,829012,0.67%,-24.71%,1.56%,-9.20%,46.48,32.95
2020-01-01|2020-01-31,笔记本电脑包,354213,26854228,1287884,0.66%,-19.19%,0.45%,-8.35%,75.81,20.85
2020-01-01|2020-01-31,影室灯,25424,19387947,166028,0.47%,-22.87%,0.02%,-18.13%,762.58,116.78
2020-01-01|2020-01-31,遥控设备,511976,18384687,1376636,0.40%,-32.85%,0.94%,-23.27%,35.91,13.35
2020-01-01|2020-01-31,涂鸦笔,96896,18305432,502723,0.40%,313.66%,0.12%,453.71%,188.92,36.41
2020-01-01|2020-01-31,自拍杆/架,302599,17877218,588518,0.40%,-32.03%,0.40%,-16.75%,59.08,30.38
2020-01-01|2020-01-31,纽扣电池,589038,17514373,1143772,0.38%,-22.74%,1.57%,-10.56%,29.73,15.31
2020-01-01|2020-01-31,笔记本电池,52071,17413232,254723,0.38%,-24.59%,0.05%,-20.34%,334.41,68.36
