日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2019-07-01|2019-07-31,手机保护套/壳,26046993,401639880,38682180,25.37%,-9.04%,48.59%,1.56%,15.42,10.38
2019-07-01|2019-07-31,手机贴膜,19212426,217129731,21684575,13.35%,13.05%,27.53%,6.26%,11.30,10.01
2019-07-01|2019-07-31,移动电源,3075540,190362251,9510793,11.51%,-9.56%,7.85%,0.39%,61.90,20.02
2019-07-01|2019-07-31,手机零部件,1581168,189653059,6028269,11.40%,-4.43%,3.04%,-4.70%,119.94,31.46
2019-07-01|2019-07-31,手机数据线,6269767,163220268,10144366,8.02%,6.36%,11.85%,26.98%,26.03,16.09
2019-07-01|2019-07-31,USB风扇,3622192,162436119,12587312,7.94%,67.58%,9.75%,66.88%,44.84,12.90
2019-07-01|2019-07-31,手机充电器,2125608,108235790,5671488,4.57%,-4.17%,6.13%,-3.44%,50.92,19.08
2019-07-01|2019-07-31,手机支架/手机座,2720228,97724907,6158401,3.00%,6.01%,7.69%,19.93%,35.93,15.87
2019-07-01|2019-07-31,平板电脑保护套/壳,1697413,96396572,3293633,2.99%,14.38%,3.35%,11.89%,56.79,29.27
2019-07-01|2019-07-31,数据线,3356653,78957886,5671627,2.14%,7.73%,8.25%,11.83%,23.52,13.92
2019-07-01|2019-07-31,笔记本零部件,101703,68840331,1863221,1.47%,-8.11%,0.11%,40.35%,676.88,36.95
2019-07-01|2019-07-31,手机电池,609900,68613486,2282869,1.37%,-32.89%,0.91%,-25.12%,112.50,30.06
2019-07-01|2019-07-31,云台,46754,46543976,473625,0.84%,59.25%,0.03%,70.55%,995.51,98.27
2019-07-01|2019-07-31,耳机保护套,903385,40429428,3052044,0.81%,267.98%,2.49%,327.00%,44.75,13.25
2019-07-01|2019-07-31,其它配件,297163,38697847,2222019,0.81%,-18.10%,0.31%,-0.73%,130.22,17.42
2019-07-01|2019-07-31,遥控设备,1796340,36579837,2632615,0.79%,21.46%,3.86%,23.77%,20.36,13.89
