日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2019-09-01|2019-09-30,手机保护套/壳,26667923,412659997,37794769,25.54%,8.92%,53.64%,14.50%,15.47,10.92
2019-09-01|2019-09-30,手机贴膜,19835636,236756482,21506022,15.54%,35.43%,28.10%,13.96%,11.94,11.01
2019-09-01|2019-09-30,移动电源,3409183,194144226,9636145,11.75%,-10.68%,8.40%,-4.33%,56.95,20.15
2019-09-01|2019-09-30,手机零部件,1424448,188278246,5621457,11.25%,7.94%,3.00%,11.89%,132.18,33.49
2019-09-01|2019-09-30,手机数据线,6339514,156438076,9437525,7.77%,4.02%,11.98%,37.43%,24.68,16.58
2019-09-01|2019-09-30,手机充电器,2214790,115216107,5672485,4.79%,-2.46%,6.31%,7.74%,52.02,20.31
2019-09-01|2019-09-30,平板电脑保护套/壳,1734255,100883282,3294069,3.18%,25.63%,3.44%,24.72%,58.17,30.63
2019-09-01|2019-09-30,手机支架/手机座,3068841,95795844,5614442,2.96%,13.60%,7.85%,25.64%,31.22,17.06
2019-09-01|2019-09-30,数据线,3625715,79635906,5636286,2.14%,2.83%,10.04%,22.10%,21.96,14.13
2019-09-01|2019-09-30,云台,53294,69940075,598828,1.47%,99.31%,0.04%,174.96%,1312.34,116.79
2019-09-01|2019-09-30,笔记本零部件,98040,67265659,1936266,1.12%,-3.18%,0.09%,38.63%,686.10,34.74
2019-09-01|2019-09-30,手机电池,604276,64402735,2259460,1.06%,-21.71%,0.90%,-8.81%,106.58,28.50
2019-09-01|2019-09-30,其它配件,311485,52799196,2124327,0.91%,16.93%,0.33%,12.67%,169.51,24.85
2019-09-01|2019-09-30,耳机保护套,1417955,50746238,3414584,0.89%,252.30%,3.00%,309.79%,35.79,14.86
2019-09-01|2019-09-30,笔记本电脑包,484951,48100191,1999132,0.87%,22.31%,0.66%,36.71%,99.19,24.06
2019-09-01|2019-09-30,手写笔,305496,32840547,729309,0.66%,178.51%,0.32%,257.33%,107.50,45.03
2019-09-01|2019-09-30,影室灯,43144,32515537,261766,0.66%,7.41%,0.03%,-2.96%,753.65,124.22
2019-09-01|2019-09-30,普通干电池,725150,31111771,1144731,0.52%,9.46%,1.06%,20.76%,42.90,27.18
2019-09-01|2019-09-30,背景布类,305439,29093509,1124487,0.47%,20.95%,0.32%,23.50%,95.25,25.87
2019-09-01|2019-09-30,手机镜头,337191,27288036,827654,0.45%,-15.03%,0.35%,65.83%,80.93,32.97
2019-09-01|2019-09-30,笔记本电池,72054,26350607,333929,0.41%,42.94%,0.06%,43.48%,365.71,78.91
2019-09-01|2019-09-30,USB HUB/转换器,301351,26332993,790465,0.41%,23.62%,0.32%,23.66%,87.38,33.31
2019-09-01|2019-09-30,USB风扇,454424,23787186,1926532,0.40%,57.85%,0.47%,42.00%,52.35,12.35
2019-09-01|2019-09-30,自拍杆/架,367649,23327826,763504,0.40%,10.50%,0.38%,1.50%,63.45,30.55
2019-09-01|2019-09-30,遥控设备,583301,20417669,1376011,0.37%,12.15%,0.87%,19.06%,35.00,14.84
2019-09-01|2019-09-30,脚架,52437,18716152,369639,0.33%,9.14%,0.04%,25.35%,356.93,50.63
2019-09-01|2019-09-30,纽扣电池,694946,18675546,1374319,0.33%,22.71%,0.95%,28.42%,26.87,13.59
