日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2018-10-01|2018-10-31,手机保护套/壳,25896640,424381111,37319128,28.24%,-22.82%,57.26%,-17.29%,16.39,11.37
2018-10-01|2018-10-31,手机贴膜,17033016,210430642,21201432,13.50%,25.51%,27.80%,-8.49%,12.35,9.93
2018-10-01|2018-10-31,移动电源,3370296,196613172,11364842,12.11%,25.50%,9.79%,23.74%,58.34,17.30
2018-10-01|2018-10-31,手机零部件,1376366,188039751,5705789,11.39%,-5.22%,3.62%,-34.09%,136.62,32.96
2018-10-01|2018-10-31,手机数据线,5115363,162255219,9015196,8.12%,11.71%,11.72%,17.68%,31.72,18.00
2018-10-01|2018-10-31,手机充电器,2180803,122474282,6275685,5.52%,83.00%,7.28%,68.25%,56.16,19.52
2018-10-01|2018-10-31,手机电池,807041,100087866,3239124,3.62%,36.00%,2.82%,-7.21%,124.02,30.90
2018-10-01|2018-10-31,手机支架/手机座,2288103,90340620,5702304,2.94%,41.93%,7.73%,23.96%,39.48,15.84
2018-10-01|2018-10-31,平板电脑保护套/壳,850870,82913086,2646771,2.81%,13.41%,2.85%,-9.86%,97.45,31.33
2018-10-01|2018-10-31,数据线,3386260,78119884,5518952,2.48%,0.03%,9.85%,9.24%,23.07,14.15
2018-10-01|2018-10-31,笔记本零部件,78435,70316131,611393,1.65%,-21.61%,0.08%,-36.48%,896.49,115.01
2018-10-01|2018-10-31,其它配件,297108,49183509,2324316,0.91%,-8.61%,0.33%,-32.08%,165.54,21.16
2018-10-01|2018-10-31,笔记本电脑包,425659,32524642,1863755,0.71%,0.30%,0.47%,0.33%,76.41,17.45
2018-10-01|2018-10-31,影室灯,43218,31740105,273091,0.66%,38.25%,0.03%,24.36%,734.42,116.23
2018-10-01|2018-10-31,手机镜头,213061,30962246,784361,0.57%,114.56%,0.30%,48.49%,145.32,39.47
2018-10-01|2018-10-31,云台,27441,30916692,396161,0.54%,61.23%,0.02%,67.32%,1126.66,78.04
2018-10-01|2018-10-31,普通干电池,597704,30882010,1695177,0.54%,45.36%,0.98%,25.53%,51.67,18.22
2018-10-01|2018-10-31,背景布类,228608,23185887,902421,0.41%,42.15%,0.30%,16.27%,101.42,25.69
2018-10-01|2018-10-31,自拍杆/架,314470,19797699,749522,0.39%,19.59%,0.37%,7.77%,62.96,26.41
2018-10-01|2018-10-31,USB HUB/转换器,296420,19564760,698383,0.38%,59.19%,0.33%,37.53%,66.00,28.01
2018-10-01|2018-10-31,笔记本电池,54228,18684451,297070,0.35%,21.49%,0.04%,-8.39%,344.55,62.90
2018-10-01|2018-10-31,耳机保护套,414695,18673479,1248614,0.34%,121.86%,0.46%,72.04%,45.03,14.96
2018-10-01|2018-10-31,USB加湿器,361545,18550282,891818,0.33%,774.67%,0.40%,771.93%,51.31,20.80
2018-10-01|2018-10-31,纽扣电池,605236,18526154,1336458,0.33%,22.81%,1.05%,21.51%,30.61,13.86
2018-10-01|2018-10-31,遥控设备,473519,18490959,805448,0.33%,13.54%,0.67%,-3.65%,39.05,22.96
2018-10-01|2018-10-31,脚架,44280,17412192,301096,0.32%,-8.44%,0.03%,-24.78%,393.23,57.83
2018-10-01|2018-10-31,笔记本炫彩贴,275010,16243749,1385909,0.30%,21.38%,0.33%,8.11%,59.07,11.72
2018-10-01|2018-10-31,摄像机配件,25274,15281200,374971,0.30%,-11.04%,0.02%,-15.90%,604.62,40.75
2018-10-01|2018-10-31,手写笔,71696,14707666,472955,0.30%,110.07%,0.06%,67.65%,205.14,31.10
2018-10-01|2018-10-31,笔记本膝上桌,401688,14237205,1974832,0.30%,327.75%,0.45%,378.31%,35.44,7.21
2018-10-01|2018-10-31,笔记本电源,79035,13990016,396457,0.27%,-9.11%,0.08%,-9.04%,177.01,35.29
2018-10-01|2018-10-31,通用电池充电套装,108086,12326072,367608,0.13%,-19.89%,0.12%,-24.35%,114.04,33.53
2018-10-01|2018-10-31,数码相机包,52048,11788522,342799,0.12%,-8.36%,0.04%,-18.18%,226.49,34.39
2018-10-01|2018-10-31,苹果视频线/转换线,69510,10683661,475486,0.12%,53.43%,0.06%,39.84%,153.70,22.47
2018-10-01|2018-10-31,摄影棚,25764,10478456,97657,0.12%,31.13%,0.02%,12.12%,406.71,107.30
2018-10-01|2018-10-31,手机挂件/手机链,448362,10234464,1846345,0.11%,68.21%,0.52%,39.64%,22.83,5.54
2018-10-01|2018-10-31,数码收纳整理包,228768,9838270,749615,0.11%,23.62%,0.30%,11.14%,43.01,13.12
2018-10-01|2018-10-31,USB电脑锁/防盗器,43492,9708125,141896,0.11%,86.59%,0.03%,91.07%,223.22,68.42
2018-10-01|2018-10-31,平板电脑零部件,43255,9535663,312941,0.11%,7.36%,0.03%,-32.60%,220.45,30.47
2018-10-01|2018-10-31,分配器/分频器/分支器,25498,7432111,95263,0.08%,136.16%,0.02%,11.11%,291.48,78.02
2018-10-01|2018-10-31,读卡器,148417,7378360,425739,0.08%,-8.16%,0.21%,4.02%,49.71,17.33
2018-10-01|2018-10-31,滤镜,39294,6900297,97452,0.08%,-0.35%,0.02%,-10.52%,175.61,70.81
