日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-09-01|2018-09-30,手机配件,604778,71.22%,131437,60.44%
2018-09-01|2018-09-30,USB数码周边,297163,34.99%,18050,8.30%
2018-09-01|2018-09-30,笔记本电脑配件,259189,30.52%,21702,9.98%
2018-09-01|2018-09-30,单反/单电相机配件,237903,28.02%,16419,7.55%
2018-09-01|2018-09-30,数码周边,233389,27.48%,24006,11.04%
2018-09-01|2018-09-30,家电影音周边配件,172828,20.35%,13436,6.18%
2018-09-01|2018-09-30,平板电脑配件,166765,19.64%,11997,5.52%
2018-09-01|2018-09-30,车载手机配件,156843,18.47%,7672,3.53%
2018-09-01|2018-09-30,数码包/收纳/整理,154146,18.15%,9370,4.31%
2018-09-01|2018-09-30,其它配件,130140,15.33%,12300,5.66%
2018-09-01|2018-09-30,移动电源,120405,14.18%,12056,5.54%
2018-09-01|2018-09-30,干电池/充电电池/套装,112177,13.21%,13872,6.38%
2018-09-01|2018-09-30,MP3/MP4配件,85842,10.11%,5905,2.72%
2018-09-01|2018-09-30,胶片相机配件,79045,9.31%,1977,0.91%
2018-09-01|2018-09-30,数码相机配件,62700,7.38%,3938,1.81%
2018-09-01|2018-09-30,摄像机配件,31892,3.76%,2889,1.33%
2018-09-01|2018-09-30,电子书配件,23170,2.73%,1583,0.73%
2018-09-01|2018-09-30,电教产品配件,18165,2.14%,716,0.33%
2018-09-01|2018-09-30,数码相框,7623,0.90%,144,0.07%
2018-09-01|2018-09-30,3G无线上网卡设备,2955,0.35%,227,0.10%
