日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-08-01|2020-08-31,手机配件,413081,60.80%,100113,53.44%
2020-08-01|2020-08-31,USB数码周边,232526,34.23%,31093,16.60%
2020-08-01|2020-08-31,单反/单电相机配件,165588,24.37%,21095,11.26%
2020-08-01|2020-08-31,笔记本电脑配件,160534,23.63%,25064,13.38%
2020-08-01|2020-08-31,数码周边,127599,18.78%,24537,13.10%
2020-08-01|2020-08-31,家电影音周边配件,85534,12.59%,13066,6.98%
2020-08-01|2020-08-31,数码包/收纳/整理,84961,12.51%,10256,5.48%
2020-08-01|2020-08-31,干电池/充电电池/套装,67241,9.90%,13819,7.38%
2020-08-01|2020-08-31,平板电脑配件,65527,9.64%,10540,5.63%
2020-08-01|2020-08-31,其它配件,62959,9.27%,10455,5.58%
2020-08-01|2020-08-31,便携电源,55931,8.23%,9188,4.91%
2020-08-01|2020-08-31,MP3/MP4配件,55477,8.17%,9899,5.28%
2020-08-01|2020-08-31,胶片相机配件,40249,5.92%,3110,1.66%
2020-08-01|2020-08-31,数码相机配件,32415,4.77%,3698,1.97%
2020-08-01|2020-08-31,车载手机配件,23220,3.42%,2691,1.44%
2020-08-01|2020-08-31,摄像机配件,19709,2.90%,2105,1.12%
2020-08-01|2020-08-31,电子书配件,12538,1.85%,1346,0.72%
2020-08-01|2020-08-31,数码相框,5535,0.81%,185,0.10%
2020-08-01|2020-08-31,电教产品配件,3536,0.52%,497,0.27%
2020-08-01|2020-08-31,3G无线上网卡设备,1215,0.18%,117,0.06%
2020-08-01|2020-08-31,数码家电保护贴,191,0.03%,28,0.01%
