日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2017-11-01|2017-11-30,手机配件,533285,68.91%,86596,56.45%
2017-11-01|2017-11-30,USB数码周边,212033,27.40%,10625,6.93%
2017-11-01|2017-11-30,笔记本电脑配件,186626,24.11%,15586,10.16%
2017-11-01|2017-11-30,数码周边,176974,22.87%,16491,10.75%
2017-11-01|2017-11-30,单反/单电相机配件,168878,21.82%,12846,8.37%
2017-11-01|2017-11-30,平板电脑配件,146058,18.87%,9682,6.31%
2017-11-01|2017-11-30,移动电源,126102,16.29%,9577,6.24%
2017-11-01|2017-11-30,家电影音周边配件,122547,15.83%,10404,6.78%
2017-11-01|2017-11-30,数码包/收纳/整理,120458,15.56%,6592,4.30%
2017-11-01|2017-11-30,其它配件,115443,14.92%,11361,7.41%
2017-11-01|2017-11-30,车载手机配件,107177,13.85%,4862,3.17%
2017-11-01|2017-11-30,干电池/充电电池/套装,104596,13.51%,11296,7.36%
2017-11-01|2017-11-30,数码相机配件,57883,7.48%,3494,2.28%
2017-11-01|2017-11-30,MP3/MP4配件,56503,7.30%,3946,2.57%
2017-11-01|2017-11-30,胶片相机配件,47835,6.18%,1523,0.99%
2017-11-01|2017-11-30,摄像机配件,22914,2.96%,2093,1.36%
2017-11-01|2017-11-30,电子书配件,20980,2.71%,1007,0.66%
2017-11-01|2017-11-30,数码相框,7765,1.00%,159,0.10%
2017-11-01|2017-11-30,电教产品配件,6358,0.82%,451,0.29%
2017-11-01|2017-11-30,3G无线上网卡设备,3199,0.41%,258,0.17%
