日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-06-01|2018-06-30,手机配件,605156,71.16%,144105,61.02%
2018-06-01|2018-06-30,USB数码周边,296930,34.92%,27731,11.74%
2018-06-01|2018-06-30,笔记本电脑配件,248590,29.23%,22354,9.47%
2018-06-01|2018-06-30,数码周边,231377,27.21%,25331,10.73%
2018-06-01|2018-06-30,单反/单电相机配件,228583,26.88%,17135,7.26%
2018-06-01|2018-06-30,平板电脑配件,174491,20.52%,12992,5.50%
2018-06-01|2018-06-30,家电影音周边配件,169023,19.88%,14656,6.21%
2018-06-01|2018-06-30,数码包/收纳/整理,157970,18.58%,9875,4.18%
2018-06-01|2018-06-30,车载手机配件,155008,18.23%,8229,3.48%
2018-06-01|2018-06-30,移动电源,141634,16.66%,13899,5.89%
2018-06-01|2018-06-30,其它配件,137698,16.19%,12979,5.50%
2018-06-01|2018-06-30,干电池/充电电池/套装,115996,13.64%,13896,5.88%
2018-06-01|2018-06-30,MP3/MP4配件,88262,10.38%,6009,2.54%
2018-06-01|2018-06-30,胶片相机配件,77927,9.16%,2021,0.86%
2018-06-01|2018-06-30,数码相机配件,66590,7.83%,4101,1.74%
2018-06-01|2018-06-30,摄像机配件,31218,3.67%,3047,1.29%
2018-06-01|2018-06-30,电子书配件,26551,3.12%,1456,0.62%
2018-06-01|2018-06-30,电教产品配件,15346,1.80%,603,0.26%
2018-06-01|2018-06-30,数码相框,8109,0.95%,184,0.08%
2018-06-01|2018-06-30,3G无线上网卡设备,3168,0.37%,282,0.12%
