日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-04-01|2018-04-30,手机配件,552805,70.54%,124194,60.61%
2018-04-01|2018-04-30,USB数码周边,240248,30.66%,18073,8.82%
2018-04-01|2018-04-30,笔记本电脑配件,217252,27.72%,19639,9.58%
2018-04-01|2018-04-30,数码周边,205127,26.18%,21810,10.64%
2018-04-01|2018-04-30,单反/单电相机配件,199696,25.48%,15733,7.68%
2018-04-01|2018-04-30,平板电脑配件,160553,20.49%,12048,5.88%
2018-04-01|2018-04-30,家电影音周边配件,147456,18.82%,12416,6.06%
2018-04-01|2018-04-30,数码包/收纳/整理,140135,17.88%,8934,4.36%
2018-04-01|2018-04-30,车载手机配件,136621,17.43%,7280,3.55%
2018-04-01|2018-04-30,移动电源,130671,16.68%,12501,6.10%
2018-04-01|2018-04-30,其它配件,127036,16.21%,12311,6.01%
2018-04-01|2018-04-30,干电池/充电电池/套装,111888,14.28%,12707,6.20%
2018-04-01|2018-04-30,MP3/MP4配件,75748,9.67%,5315,2.59%
2018-04-01|2018-04-30,胶片相机配件,65776,8.39%,1814,0.89%
2018-04-01|2018-04-30,数码相机配件,60067,7.67%,3918,1.91%
2018-04-01|2018-04-30,摄像机配件,27378,3.49%,2733,1.33%
2018-04-01|2018-04-30,电子书配件,24963,3.19%,1318,0.64%
2018-04-01|2018-04-30,电教产品配件,10802,1.38%,544,0.27%
2018-04-01|2018-04-30,数码相框,7750,0.99%,165,0.08%
2018-04-01|2018-04-30,3G无线上网卡设备,2929,0.37%,262,0.13%
