日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-08-01|2019-08-31,手机配件,680524,69.84%,133833,56.65%
2019-08-01|2019-08-31,USB数码周边,366947,37.66%,28352,12.00%
2019-08-01|2019-08-31,笔记本电脑配件,301354,30.93%,26586,11.25%
2019-08-01|2019-08-31,单反/单电相机配件,292822,30.05%,19655,8.32%
2019-08-01|2019-08-31,数码周边,241313,24.76%,25374,10.74%
2019-08-01|2019-08-31,车载手机配件,181657,18.64%,9850,4.17%
2019-08-01|2019-08-31,家电影音周边配件,180005,18.47%,15148,6.41%
2019-08-01|2019-08-31,数码包/收纳/整理,174655,17.92%,11542,4.89%
2019-08-01|2019-08-31,平板电脑配件,155483,15.96%,12385,5.24%
2019-08-01|2019-08-31,其它配件,133182,13.67%,12046,5.10%
2019-08-01|2019-08-31,干电池/充电电池/套装,128936,13.23%,14493,6.13%
2019-08-01|2019-08-31,移动电源,112978,11.59%,11759,4.98%
2019-08-01|2019-08-31,MP3/MP4配件,108922,11.18%,10797,4.57%
2019-08-01|2019-08-31,胶片相机配件,91755,9.42%,2681,1.13%
2019-08-01|2019-08-31,数码相机配件,80336,8.24%,4560,1.93%
2019-08-01|2019-08-31,摄像机配件,34570,3.55%,2433,1.03%
2019-08-01|2019-08-31,电子书配件,25474,2.61%,1637,0.69%
2019-08-01|2019-08-31,电教产品配件,10197,1.05%,593,0.25%
2019-08-01|2019-08-31,数码相框,9652,0.99%,163,0.07%
2019-08-01|2019-08-31,3G无线上网卡设备,3229,0.33%,187,0.08%
