日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-08-01|2018-08-31,手机配件,587734,70.58%,156787,61.99%
2018-08-01|2018-08-31,USB数码周边,292218,35.09%,25387,10.04%
2018-08-01|2018-08-31,笔记本电脑配件,246123,29.56%,25177,9.95%
2018-08-01|2018-08-31,单反/单电相机配件,226980,27.26%,18732,7.41%
2018-08-01|2018-08-31,数码周边,224113,26.91%,28217,11.16%
2018-08-01|2018-08-31,家电影音周边配件,166655,20.01%,15976,6.32%
2018-08-01|2018-08-31,平板电脑配件,162046,19.46%,14880,5.88%
2018-08-01|2018-08-31,车载手机配件,150202,18.04%,9233,3.65%
2018-08-01|2018-08-31,数码包/收纳/整理,148861,17.88%,11381,4.50%
2018-08-01|2018-08-31,其它配件,128683,15.45%,13739,5.43%
2018-08-01|2018-08-31,移动电源,121407,14.58%,14401,5.69%
2018-08-01|2018-08-31,干电池/充电电池/套装,109740,13.18%,15029,5.94%
2018-08-01|2018-08-31,MP3/MP4配件,82776,9.94%,6721,2.66%
2018-08-01|2018-08-31,胶片相机配件,73061,8.77%,2279,0.90%
2018-08-01|2018-08-31,数码相机配件,61205,7.35%,4294,1.70%
2018-08-01|2018-08-31,摄像机配件,30849,3.70%,3291,1.30%
2018-08-01|2018-08-31,电子书配件,22491,2.70%,1740,0.69%
2018-08-01|2018-08-31,电教产品配件,16889,2.03%,691,0.27%
2018-08-01|2018-08-31,数码相框,7466,0.90%,167,0.07%
2018-08-01|2018-08-31,3G无线上网卡设备,3018,0.36%,284,0.11%
