日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2017-12-01|2017-12-31,手机配件,526325,68.91%,90662,57.25%
2017-12-01|2017-12-31,USB数码周边,211312,27.67%,10931,6.90%
2017-12-01|2017-12-31,笔记本电脑配件,187687,24.57%,15643,9.88%
2017-12-01|2017-12-31,数码周边,178932,23.43%,17184,10.85%
2017-12-01|2017-12-31,单反/单电相机配件,171162,22.41%,12716,8.03%
2017-12-01|2017-12-31,平板电脑配件,144972,18.98%,9708,6.13%
2017-12-01|2017-12-31,移动电源,124512,16.30%,9921,6.27%
2017-12-01|2017-12-31,家电影音周边配件,124336,16.28%,10670,6.74%
2017-12-01|2017-12-31,数码包/收纳/整理,121470,15.90%,6715,4.24%
2017-12-01|2017-12-31,其它配件,115096,15.07%,11419,7.21%
2017-12-01|2017-12-31,车载手机配件,109133,14.29%,5107,3.23%
2017-12-01|2017-12-31,干电池/充电电池/套装,104570,13.69%,11515,7.27%
2017-12-01|2017-12-31,MP3/MP4配件,58771,7.70%,4081,2.58%
2017-12-01|2017-12-31,数码相机配件,56856,7.44%,3476,2.20%
2017-12-01|2017-12-31,胶片相机配件,49970,6.54%,1568,0.99%
2017-12-01|2017-12-31,摄像机配件,23622,3.09%,2136,1.35%
2017-12-01|2017-12-31,电子书配件,21074,2.76%,1030,0.65%
2017-12-01|2017-12-31,数码相框,7949,1.04%,159,0.10%
2017-12-01|2017-12-31,电教产品配件,6198,0.81%,456,0.29%
2017-12-01|2017-12-31,3G无线上网卡设备,3048,0.40%,249,0.16%
