日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-04-01|2019-04-30,手机配件,718569,72.69%,141065,58.90%
2019-04-01|2019-04-30,USB数码周边,356253,36.04%,26880,11.22%
2019-04-01|2019-04-30,笔记本电脑配件,330836,33.47%,24524,10.24%
2019-04-01|2019-04-30,单反/单电相机配件,312309,31.59%,21374,8.92%
2019-04-01|2019-04-30,数码周边,285454,28.88%,28376,11.85%
2019-04-01|2019-04-30,车载手机配件,210667,21.31%,10716,4.47%
2019-04-01|2019-04-30,家电影音周边配件,202650,20.50%,15907,6.64%
2019-04-01|2019-04-30,数码包/收纳/整理,196184,19.85%,11880,4.96%
2019-04-01|2019-04-30,平板电脑配件,185858,18.80%,12737,5.32%
2019-04-01|2019-04-30,其它配件,148230,14.99%,12937,5.40%
2019-04-01|2019-04-30,干电池/充电电池/套装,136888,13.85%,15402,6.43%
2019-04-01|2019-04-30,移动电源,128874,13.04%,12237,5.11%
2019-04-01|2019-04-30,MP3/MP4配件,115902,11.72%,9962,4.16%
2019-04-01|2019-04-30,胶片相机配件,110092,11.14%,2461,1.03%
2019-04-01|2019-04-30,数码相机配件,80811,8.17%,4532,1.89%
2019-04-01|2019-04-30,摄像机配件,38923,3.94%,2550,1.06%
2019-04-01|2019-04-30,电子书配件,30464,3.08%,1495,0.62%
2019-04-01|2019-04-30,电教产品配件,14764,1.49%,608,0.25%
2019-04-01|2019-04-30,数码相框,9436,0.95%,157,0.07%
2019-04-01|2019-04-30,3G无线上网卡设备,3950,0.40%,208,0.09%
