日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-10-01|2020-10-31,手机配件,398249,61.23%,101029,55.46%
2020-10-01|2020-10-31,USB数码周边,221428,34.04%,25408,13.95%
2020-10-01|2020-10-31,单反/单电相机配件,169818,26.11%,21057,11.56%
2020-10-01|2020-10-31,笔记本电脑配件,165510,25.45%,25257,13.87%
2020-10-01|2020-10-31,数码周边,131178,20.17%,26456,14.52%
2020-10-01|2020-10-31,数码包/收纳/整理,91473,14.06%,11464,6.29%
2020-10-01|2020-10-31,家电影音周边配件,85392,13.13%,13135,7.21%
2020-10-01|2020-10-31,平板电脑配件,67398,10.36%,11308,6.21%
2020-10-01|2020-10-31,干电池/充电电池/套装,67347,10.35%,15139,8.31%
2020-10-01|2020-10-31,其它配件,61851,9.51%,9043,4.96%
2020-10-01|2020-10-31,便携电源,58000,8.92%,9419,5.17%
2020-10-01|2020-10-31,MP3/MP4配件,56411,8.67%,10525,5.78%
2020-10-01|2020-10-31,胶片相机配件,41498,6.38%,3454,1.90%
2020-10-01|2020-10-31,数码相机配件,33108,5.09%,3808,2.09%
2020-10-01|2020-10-31,摄像机配件,20243,3.11%,2144,1.18%
2020-10-01|2020-10-31,车载手机配件,15095,2.32%,1974,1.08%
2020-10-01|2020-10-31,电子书配件,12712,1.95%,1390,0.76%
2020-10-01|2020-10-31,数码相框,5336,0.82%,155,0.09%
2020-10-01|2020-10-31,电教产品配件,3443,0.53%,473,0.26%
2020-10-01|2020-10-31,3G无线上网卡设备,1075,0.17%,114,0.06%
2020-10-01|2020-10-31,数码家电保护贴,358,0.06%,41,0.02%
