日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-07-01|2020-07-31,手机配件,1487436086,-3.57%,65.70%,73.03%,399072,60.29%,100404,52.91%
2020-07-01|2020-07-31,单反/单电相机配件,188022761,-24.52%,11.21%,1.92%,156291,23.61%,21591,11.38%
2020-07-01|2020-07-31,USB数码周边,183847946,-34.52%,11.14%,4.57%,221129,33.41%,34566,18.21%
2020-07-01|2020-07-31,便携电源,181999072,-8.63%,11.12%,2.35%,51862,7.84%,8727,4.60%
2020-07-01|2020-07-31,笔记本电脑配件,179552783,-2.45%,11.02%,2.88%,151173,22.84%,25257,13.31%
2020-07-01|2020-07-31,数码周边,140937251,-17.99%,6.33%,4.84%,119763,18.09%,24341,12.83%
2020-07-01|2020-07-31,平板电脑配件,131168169,-9.47%,5.66%,2.10%,60113,9.08%,10382,5.47%
2020-07-01|2020-07-31,干电池/充电电池/套装,95054191,-8.64%,2.86%,2.55%,64229,9.70%,13715,7.23%
2020-07-01|2020-07-31,其它配件,65428018,20.11%,0.96%,0.48%,59097,8.93%,10311,5.43%
2020-07-01|2020-07-31,家电影音周边配件,61818744,-3.94%,0.94%,1.88%,81633,12.33%,13155,6.93%
2020-07-01|2020-07-31,MP3/MP4配件,48681161,-0.54%,0.85%,1.53%,52414,7.92%,9906,5.22%
2020-07-01|2020-07-31,胶片相机配件,27419282,-30.10%,0.43%,0.60%,36943,5.58%,3385,1.78%
2020-07-01|2020-07-31,数码相机配件,19389039,-22.76%,0.33%,0.19%,30164,4.56%,3926,2.07%
2020-07-01|2020-07-31,数码包/收纳/整理,18301335,-14.40%,0.31%,0.86%,79107,11.95%,10122,5.33%
2020-07-01|2020-07-31,摄像机配件,15075724,-7.31%,0.21%,0.04%,18394,2.78%,2213,1.17%
2020-07-01|2020-07-31,车载手机配件,6104075,-47.10%,0.05%,0.08%,24458,3.69%,3368,1.77%
2020-07-01|2020-07-31,数码相框,2776720,-8.36%,0.03%,0.00,5100,0.77%,183,0.10%
2020-07-01|2020-07-31,电子书配件,2398655,-15.23%,0.02%,0.07%,11524,1.74%,1412,0.74%
2020-07-01|2020-07-31,电教产品配件,691119,15.16%,0.00,0.01%,3334,0.50%,524,0.28%
2020-07-01|2020-07-31,3G无线上网卡设备,578737,11.02%,0.00,0.00,1169,0.18%,131,0.07%
2020-07-01|2020-07-31,数码家电保护贴,4972,52.07%,0.00,0.00,156,0.02%,30,0.02%
