日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-03-01|2020-03-31,手机配件,484163,66.24%,92921,53.80%
2020-03-01|2020-03-31,USB数码周边,222949,30.50%,18469,10.69%
2020-03-01|2020-03-31,笔记本电脑配件,194674,26.63%,21406,12.39%
2020-03-01|2020-03-31,单反/单电相机配件,189605,25.94%,16927,9.80%
2020-03-01|2020-03-31,数码周边,144121,19.72%,21489,12.44%
2020-03-01|2020-03-31,数码包/收纳/整理,104604,14.31%,8597,4.98%
2020-03-01|2020-03-31,家电影音周边配件,101857,13.93%,11540,6.68%
2020-03-01|2020-03-31,车载手机配件,99908,13.67%,7205,4.17%
2020-03-01|2020-03-31,平板电脑配件,85236,11.66%,10155,5.88%
2020-03-01|2020-03-31,干电池/充电电池/套装,77556,10.61%,12798,7.41%
2020-03-01|2020-03-31,其它配件,74181,10.15%,9711,5.62%
2020-03-01|2020-03-31,MP3/MP4配件,70474,9.64%,8870,5.14%
2020-03-01|2020-03-31,便携电源,65911,9.02%,7578,4.39%
2020-03-01|2020-03-31,胶片相机配件,53206,7.28%,2657,1.54%
2020-03-01|2020-03-31,数码相机配件,42464,5.81%,3435,1.99%
2020-03-01|2020-03-31,摄像机配件,19414,2.66%,2063,1.19%
2020-03-01|2020-03-31,电子书配件,16107,2.20%,1288,0.75%
2020-03-01|2020-03-31,数码相框,5912,0.81%,152,0.09%
2020-03-01|2020-03-31,电教产品配件,4423,0.61%,518,0.30%
2020-03-01|2020-03-31,3G无线上网卡设备,1513,0.21%,136,0.08%
2020-03-01|2020-03-31,数码家电保护贴,22,0.00,6,0.00
