日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-02-01|2018-02-28,手机配件,493717,68.86%,86181,59.18%
2018-02-01|2018-02-28,USB数码周边,199436,27.81%,8757,6.01%
2018-02-01|2018-02-28,笔记本电脑配件,180917,25.23%,13931,9.57%
2018-02-01|2018-02-28,数码周边,173173,24.15%,15181,10.42%
2018-02-01|2018-02-28,单反/单电相机配件,164763,22.98%,10799,7.42%
2018-02-01|2018-02-28,平板电脑配件,138190,19.27%,9124,6.27%
2018-02-01|2018-02-28,家电影音周边配件,121847,16.99%,9173,6.30%
2018-02-01|2018-02-28,移动电源,116724,16.28%,8778,6.03%
2018-02-01|2018-02-28,数码包/收纳/整理,116395,16.23%,6127,4.21%
2018-02-01|2018-02-28,其它配件,109461,15.27%,9188,6.31%
2018-02-01|2018-02-28,车载手机配件,105954,14.78%,4590,3.15%
2018-02-01|2018-02-28,干电池/充电电池/套装,100049,13.95%,9741,6.69%
2018-02-01|2018-02-28,MP3/MP4配件,58071,8.10%,3547,2.44%
2018-02-01|2018-02-28,数码相机配件,52472,7.32%,3012,2.07%
2018-02-01|2018-02-28,胶片相机配件,49510,6.91%,1371,0.94%
2018-02-01|2018-02-28,摄像机配件,23695,3.30%,1783,1.22%
2018-02-01|2018-02-28,电子书配件,20092,2.80%,1044,0.72%
2018-02-01|2018-02-28,数码相框,7510,1.05%,112,0.08%
2018-02-01|2018-02-28,电教产品配件,6056,0.84%,416,0.29%
2018-02-01|2018-02-28,3G无线上网卡设备,2714,0.38%,194,0.13%
