日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-06-01|2020-06-30,手机配件,415657,60.69%,96095,51.18%
2020-06-01|2020-06-30,USB数码周边,224154,32.73%,35649,18.99%
2020-06-01|2020-06-30,单反/单电相机配件,160450,23.43%,19587,10.43%
2020-06-01|2020-06-30,笔记本电脑配件,155831,22.75%,23500,12.52%
2020-06-01|2020-06-30,数码周边,121742,17.78%,22693,12.09%
2020-06-01|2020-06-30,家电影音周边配件,83840,12.24%,12421,6.61%
2020-06-01|2020-06-30,数码包/收纳/整理,81796,11.94%,9339,4.97%
2020-06-01|2020-06-30,车载手机配件,81087,11.84%,9186,4.89%
2020-06-01|2020-06-30,干电池/充电电池/套装,66269,9.68%,13134,6.99%
2020-06-01|2020-06-30,平板电脑配件,62726,9.16%,10064,5.36%
2020-06-01|2020-06-30,其它配件,60291,8.80%,9676,5.15%
2020-06-01|2020-06-30,MP3/MP4配件,54889,8.01%,9263,4.93%
2020-06-01|2020-06-30,便携电源,53176,7.76%,8309,4.42%
2020-06-01|2020-06-30,胶片相机配件,39786,5.81%,3151,1.68%
2020-06-01|2020-06-30,数码相机配件,32301,4.72%,3820,2.03%
2020-06-01|2020-06-30,摄像机配件,18112,2.64%,2228,1.19%
2020-06-01|2020-06-30,电子书配件,12070,1.76%,1336,0.71%
2020-06-01|2020-06-30,数码相框,5392,0.79%,169,0.09%
2020-06-01|2020-06-30,电教产品配件,3455,0.50%,503,0.27%
2020-06-01|2020-06-30,3G无线上网卡设备,1220,0.18%,126,0.07%
2020-06-01|2020-06-30,数码家电保护贴,103,0.01%,23,0.01%
