日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-07-01|2018-07-31,手机配件,580795,70.43%,151638,61.42%
2018-07-01|2018-07-31,USB数码周边,288066,34.93%,28316,11.47%
2018-07-01|2018-07-31,笔记本电脑配件,238273,28.90%,23797,9.64%
2018-07-01|2018-07-31,单反/单电相机配件,220581,26.75%,17978,7.28%
2018-07-01|2018-07-31,数码周边,219244,26.59%,26663,10.80%
2018-07-01|2018-07-31,家电影音周边配件,163052,19.77%,15608,6.32%
2018-07-01|2018-07-31,平板电脑配件,160020,19.41%,14143,5.73%
2018-07-01|2018-07-31,数码包/收纳/整理,146030,17.71%,10654,4.32%
2018-07-01|2018-07-31,车载手机配件,145262,17.62%,8731,3.54%
2018-07-01|2018-07-31,其它配件,128012,15.52%,13315,5.39%
2018-07-01|2018-07-31,移动电源,124968,15.16%,14304,5.79%
2018-07-01|2018-07-31,干电池/充电电池/套装,108416,13.15%,14555,5.90%
2018-07-01|2018-07-31,MP3/MP4配件,82036,9.95%,6387,2.59%
2018-07-01|2018-07-31,胶片相机配件,71498,8.67%,2110,0.85%
2018-07-01|2018-07-31,数码相机配件,61269,7.43%,4246,1.72%
2018-07-01|2018-07-31,摄像机配件,30239,3.67%,3261,1.32%
2018-07-01|2018-07-31,电子书配件,22811,2.77%,1552,0.63%
2018-07-01|2018-07-31,电教产品配件,15373,1.86%,707,0.29%
2018-07-01|2018-07-31,数码相框,7395,0.90%,166,0.07%
2018-07-01|2018-07-31,3G无线上网卡设备,2986,0.36%,289,0.12%
