日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-07-01|2019-07-31,手机配件,681540,69.89%,139744,56.58%
2019-07-01|2019-07-31,USB数码周边,370914,38.03%,34730,14.06%
2019-07-01|2019-07-31,笔记本电脑配件,303210,31.09%,26403,10.69%
2019-07-01|2019-07-31,单反/单电相机配件,296302,30.38%,20566,8.33%
2019-07-01|2019-07-31,数码周边,249798,25.61%,26908,10.89%
2019-07-01|2019-07-31,车载手机配件,188998,19.38%,10422,4.22%
2019-07-01|2019-07-31,家电影音周边配件,186880,19.16%,16336,6.61%
2019-07-01|2019-07-31,数码包/收纳/整理,178720,18.33%,11784,4.77%
2019-07-01|2019-07-31,平板电脑配件,159211,16.33%,12608,5.10%
2019-07-01|2019-07-31,其它配件,136220,13.97%,12493,5.06%
2019-07-01|2019-07-31,干电池/充电电池/套装,133415,13.68%,15261,6.18%
2019-07-01|2019-07-31,移动电源,115100,11.80%,12026,4.87%
2019-07-01|2019-07-31,MP3/MP4配件,111416,11.42%,10787,4.37%
2019-07-01|2019-07-31,胶片相机配件,97119,9.96%,2557,1.04%
2019-07-01|2019-07-31,数码相机配件,82760,8.49%,4707,1.91%
2019-07-01|2019-07-31,摄像机配件,35395,3.63%,2565,1.04%
2019-07-01|2019-07-31,电子书配件,26882,2.76%,1678,0.68%
2019-07-01|2019-07-31,电教产品配件,11155,1.14%,636,0.26%
2019-07-01|2019-07-31,数码相框,9561,0.98%,175,0.07%
2019-07-01|2019-07-31,3G无线上网卡设备,3439,0.35%,203,0.08%
