类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
车载充电器,51008,3632481,472826,0.04,5.83,0.04,11.06,71.21,7.68,2018-05-01,2018-05-31
胶卷,10503,3590483,58405,0.04,22.36,0.01,22.76,341.85,61.48,2018-05-01,2018-05-31
灯附件,13696,3418235,49526,0.04,11.7,0.01,-4.57,249.58,69.02,2018-05-01,2018-05-31
射频器/转换器,10740,3242924,66624,0.03,0.39,0.01,-8.49,301.95,48.68,2018-05-01,2018-05-31
外拍灯,2178,3241645,43096,0.03,74.55,0.0,61.71,1488.36,75.22,2018-05-01,2018-05-31
手机防尘塞,65179,3093594,449291,0.03,25.69,0.06,-1.94,47.46,6.89,2018-05-01,2018-05-31
18650电池,10206,2774822,83351,0.03,-3.16,0.01,0.3,271.88,33.29,2018-05-01,2018-05-31
清洁套装,87392,2738884,296891,0.03,11.33,0.09,0.35,31.34,9.23,2018-05-01,2018-05-31
数码相框,2110,2657716,43359,0.03,26.98,0.0,0.11,1259.58,61.3,2018-05-01,2018-05-31
平板电脑支架,19196,2554815,96511,0.03,-11.9,0.02,-33.3,133.09,26.47,2018-05-01,2018-05-31
3G无线上网卡设备,6171,2486484,62434,0.03,-34.07,0.0,-25.71,402.93,39.83,2018-05-01,2018-05-31
苹果卡槽,54225,2466695,312105,0.03,-31.77,0.05,-21.66,45.49,7.9,2018-05-01,2018-05-31
手机贴纸,80338,2419666,587511,0.03,-31.05,0.08,-33.29,30.12,4.12,2018-05-01,2018-05-31
平板电脑外接键盘,5940,1990805,274477,0.02,21.49,0.0,21.59,335.15,7.25,2018-05-01,2018-05-31
电子书保护套,44253,1902973,151493,0.02,-22.76,0.03,-17.76,43.0,12.56,2018-05-01,2018-05-31
摄影包,3964,1807907,54234,0.02,14.41,0.0,-8.1,456.08,33.34,2018-05-01,2018-05-31
闪光灯配件,9497,1799713,44100,0.02,12.93,0.01,-1.75,189.5,40.81,2018-05-01,2018-05-31
相机背带,13226,1784228,65828,0.02,5.06,0.01,-1.81,134.9,27.1,2018-05-01,2018-05-31
节电器/省电器,18591,1777140,73376,0.02,121.78,0.02,140.54,95.59,24.22,2018-05-01,2018-05-31
USB延长线,43950,1742656,83794,0.02,5.52,0.03,-4.52,39.65,20.8,2018-05-01,2018-05-31
USB灯,52122,1613176,363446,0.02,2.92,0.04,-24.8,30.95,4.44,2018-05-01,2018-05-31
笔记本个性小贴纸,45569,1459606,442654,0.02,42.36,0.03,61.37,32.03,3.3,2018-05-01,2018-05-31
数码相机充电器,18832,1297052,51617,0.01,-28.76,0.02,-16.26,68.87,25.13,2018-05-01,2018-05-31
USB驱蚊器,16397,1268051,96613,0.01,310.62,0.01,66.63,77.33,13.13,2018-05-01,2018-05-31
插头/接口,15068,1248298,73389,0.01,11.72,0.01,8.47,82.84,17.01,2018-05-01,2018-05-31
镜头纸/镜头布,15497,1243044,43216,0.01,-0.21,0.01,-0.69,80.21,28.76,2018-05-01,2018-05-31
柔光器具,6647,1238256,26841,0.01,38.67,0.0,-1.24,186.29,46.13,2018-05-01,2018-05-31
单反手柄,2081,1222036,27400,0.01,-29.98,0.0,-20.4,587.23,44.6,2018-05-01,2018-05-31
校色仪,865,1185486,9253,0.01,64.74,0.0,31.54,1370.5,128.12,2018-05-01,2018-05-31
快装板,8561,1173813,30651,0.01,9.22,0.01,5.78,137.11,38.3,2018-05-01,2018-05-31
反光器具,10575,1170172,43705,0.01,12.68,0.01,0.66,110.65,26.77,2018-05-01,2018-05-31
平板电脑底座,1523,1151787,25420,0.01,32.45,0.0,22.3,756.26,45.31,2018-05-01,2018-05-31
快门线,8801,1035264,42945,0.01,-22.83,0.01,-24.67,117.63,24.11,2018-05-01,2018-05-31
触摸屏手套,18629,1030066,83964,0.01,332.22,0.02,168.53,55.29,12.27,2018-05-01,2018-05-31
说明书/使用指南,5627,1026869,45607,0.01,393.53,0.0,87.81,182.49,22.52,2018-05-01,2018-05-31
单反/单电电池,2187,953916,25272,0.01,-17.07,0.0,-34.12,436.18,37.75,2018-05-01,2018-05-31
清洁液,10176,945243,42000,0.01,31.21,0.01,-11.25,92.89,22.51,2018-05-01,2018-05-31
遮光罩,10226,943057,44095,0.01,-24.3,0.01,-32.06,92.22,21.39,2018-05-01,2018-05-31
摄影台/静物台,2432,905448,24116,0.01,-23.79,0.0,-24.22,372.31,37.55,2018-05-01,2018-05-31
USB迷你冰箱,1967,897259,81742,0.01,1218.06,0.0,398.74,456.16,10.98,2018-05-01,2018-05-31
18650电池盒,10052,894932,49729,0.01,99.17,0.01,-0.48,89.03,18.0,2018-05-01,2018-05-31
擦屏布,10634,886584,46176,0.01,25.3,0.01,11.06,83.37,19.2,2018-05-01,2018-05-31
电视高压包,14110,870352,27406,0.01,-9.56,0.01,-32.41,61.68,31.76,2018-05-01,2018-05-31
USB吸尘器,11013,862387,58354,0.01,650.92,0.01,372.86,78.31,14.78,2018-05-01,2018-05-31
镜头盖,17993,847688,44280,0.01,-10.35,0.01,-21.02,47.11,19.14,2018-05-01,2018-05-31
脚架配件,2121,800032,20228,0.01,74.33,0.0,11.16,377.2,39.55,2018-05-01,2018-05-31
3D立体眼镜,2105,792419,43548,0.01,-50.26,0.0,-85.84,376.45,18.2,2018-05-01,2018-05-31
遥控器,11973,736127,54697,0.01,-32.94,0.01,-10.61,61.48,13.46,2018-05-01,2018-05-31
数码设备外接键盘,10294,729050,67118,0.01,38.31,0.01,1658.39,70.82,10.86,2018-05-01,2018-05-31
平板电脑充电器,5085,720837,25422,0.01,-35.55,0.0,-37.24,141.76,28.35,2018-05-01,2018-05-31
脚架包,2113,720313,10229,0.01,52.07,0.0,11.63,340.9,70.42,2018-05-01,2018-05-31
隔离器/耦合器,1840,686871,10060,0.0,39.67,0.0,-3.16,373.3,68.28,2018-05-01,2018-05-31
VGA切换器,8740,655027,30944,0.0,-3.64,0.01,-3.09,74.95,21.17,2018-05-01,2018-05-31
取景器,1207,644609,17207,0.0,-10.88,0.0,-8.49,534.06,37.46,2018-05-01,2018-05-31
测光表,67,609312,4313,0.0,25.34,0.0,-17.36,9094.21,141.27,2018-05-01,2018-05-31
相机腕带,6122,607243,27495,0.0,-4.44,0.0,-13.91,99.19,22.09,2018-05-01,2018-05-31
MP3/MP4保护套,1983,577006,25264,0.0,67.29,0.0,-33.73,290.98,22.84,2018-05-01,2018-05-31
平板电脑包,2449,568872,46179,0.0,-35.44,0.0,-32.92,232.29,12.32,2018-05-01,2018-05-31
F头,5157,564606,19755,0.0,-24.66,0.0,-9.12,109.48,28.58,2018-05-01,2018-05-31
RF头,2004,564112,13093,0.0,-8.63,0.0,-19.89,281.49,43.09,2018-05-01,2018-05-31
显示器/打印机色彩校正仪,545,559829,6088,0.0,-14.8,0.0,-8.11,1027.21,91.96,2018-05-01,2018-05-31
USB Humping Dog,1212,559198,6211,0.0,321.15,0.0,377.0,461.38,90.03,2018-05-01,2018-05-31
无线传输设备,679,558812,7607,0.0,36.77,0.0,-10.23,822.99,73.46,2018-05-01,2018-05-31
闪存卡转接套,10152,557681,158779,0.0,-36.21,0.01,-31.72,54.93,3.51,2018-05-01,2018-05-31
USB电话机/网络电话机,2121,515191,18780,0.0,-32.9,0.0,-45.45,242.9,27.43,2018-05-01,2018-05-31
电子书灯,10372,497485,52313,0.0,61.32,0.01,122.48,47.96,9.51,2018-05-01,2018-05-31
照片夹子,20058,492746,72143,0.0,67.35,0.02,67.62,24.57,6.83,2018-05-01,2018-05-31
数据连接线,1066,491963,10211,0.0,168.51,0.0,-24.32,461.5,48.18,2018-05-01,2018-05-31
音乐枕,2064,490152,43232,0.0,-36.38,0.0,-34.27,237.48,11.34,2018-05-01,2018-05-31
USB多功能数码宝,1619,483305,17332,0.0,-23.95,0.0,-48.56,298.52,27.89,2018-05-01,2018-05-31
相机专用遥控器,2162,472849,17365,0.0,-18.36,0.0,-33.1,218.71,27.23,2018-05-01,2018-05-31
电子辞典/学习机配件,2655,462125,26023,0.0,0.0,0.0,14.13,174.06,17.76,2018-05-01,2018-05-31
点读机/点读笔配件,5153,458710,20348,0.0,-33.05,0.0,-12.2,89.02,22.54,2018-05-01,2018-05-31
苹果取卡针,18316,456055,43226,0.0,-31.38,0.02,19.06,24.9,10.55,2018-05-01,2018-05-31
BNC头,2066,450304,9675,0.0,-24.48,0.0,-19.65,217.96,46.54,2018-05-01,2018-05-31
手机智能按键,986,439819,11145,0.0,228.67,0.0,87.5,446.06,39.46,2018-05-01,2018-05-31
一次成像相册,3723,424984,27681,0.0,71.89,0.0,55.92,114.15,15.35,2018-05-01,2018-05-31
机顶盒共享器,682,424962,8452,0.0,26.67,0.0,-2.96,623.11,50.28,2018-05-01,2018-05-31
SIM 剪卡钳,9538,424563,19897,0.0,-32.86,0.01,-35.25,44.51,21.34,2018-05-01,2018-05-31
微波炉面板,4554,419908,16911,0.0,-6.91,0.0,-21.61,92.21,24.83,2018-05-01,2018-05-31
一次成像相机专用包,5087,408689,30676,0.0,37.3,0.0,8.98,80.34,13.32,2018-05-01,2018-05-31
屏幕保护膜,5431,407164,25662,0.0,-24.05,0.0,168.44,74.97,15.87,2018-05-01,2018-05-31
增距镜,435,401844,6554,0.0,-8.35,0.0,-30.71,923.78,61.31,2018-05-01,2018-05-31
广角镜,507,381347,5599,0.0,-17.33,0.0,-34.29,752.16,68.11,2018-05-01,2018-05-31
防寒设备,1958,380497,9610,0.0,77.95,0.0,145.38,194.33,39.59,2018-05-01,2018-05-31
气吹,8599,377117,17874,0.0,6.71,0.01,-5.31,43.86,21.1,2018-05-01,2018-05-31
RCA头,3264,370601,16301,0.0,11.77,0.0,13.0,113.54,22.73,2018-05-01,2018-05-31
线缆收纳器/集线器,2064,365976,27113,0.0,-30.42,0.0,-33.61,177.31,13.5,2018-05-01,2018-05-31
MSN聊天伴侣,9105,365141,43232,0.0,-9.05,0.01,1544.4,40.1,8.45,2018-05-01,2018-05-31
高压气罐,1792,193530,8529,0.0,28.34,0.0,38.79,108.0,22.69,2018-05-01,2018-05-31
相机眼罩,3673,153740,10295,0.0,-6.8,0.0,-10.97,41.86,14.93,2018-05-01,2018-05-31
USB暖手鼠标垫,2659,144691,43043,0.0,251.86,0.0,339.53,54.42,3.36,2018-05-01,2018-05-31
数码相机适配器,941,129729,5985,0.0,11.72,0.0,22.12,137.86,21.68,2018-05-01,2018-05-31
电池收纳盒,3744,126989,12028,0.0,27.79,0.0,-8.48,33.92,10.56,2018-05-01,2018-05-31
电子书手写笔/电磁笔,2888,126543,24612,0.0,21.54,0.0,26.12,43.82,5.14,2018-05-01,2018-05-31
电纸书屏幕贴膜,2026,118020,9812,0.0,23.82,0.0,-37.82,58.25,12.03,2018-05-01,2018-05-31
FM/MP3发射器,692,117843,8746,0.0,-34.85,0.0,-35.35,170.29,13.47,2018-05-01,2018-05-31
平板电脑数据线,860,112775,15215,0.0,11.26,0.0,-33.73,131.13,7.41,2018-05-01,2018-05-31
镜头笔,2000,111916,5538,0.0,17.45,0.0,11.46,55.96,20.21,2018-05-01,2018-05-31
脚架接环,679,111297,2286,0.0,65.53,0.0,-8.11,163.91,48.69,2018-05-01,2018-05-31
相片角贴,10142,106372,43131,0.0,-23.32,0.01,-31.36,10.49,2.47,2018-05-01,2018-05-31
相机/摄像机专用充电套装,866,104190,5062,0.0,-35.57,0.0,-33.02,120.31,20.58,2018-05-01,2018-05-31
USB食品加热包/保温盒,396,95984,8322,0.0,458.27,0.0,64.75,242.38,11.53,2018-05-01,2018-05-31
单反/单电充电器,1797,95928,8007,0.0,-24.66,0.0,39.12,53.38,11.98,2018-05-01,2018-05-31
KVM,452,91852,2360,0.0,-16.86,0.0,-33.53,203.21,38.92,2018-05-01,2018-05-31
灰板,1707,90125,3210,0.0,87.01,0.0,11.72,52.8,28.08,2018-05-01,2018-05-31
相机色卡,680,88235,3139,0.0,11.23,0.0,59.97,129.76,28.11,2018-05-01,2018-05-31
液晶屏保护膜,2115,86413,9827,0.0,-47.91,0.0,-52.5,40.86,8.79,2018-05-01,2018-05-31
AV切换器,1512,84664,10159,0.0,-31.44,0.0,-34.5,55.99,8.33,2018-05-01,2018-05-31
USB摆设品/装饰品,607,78700,5389,0.0,-46.0,0.0,-9.14,129.65,14.6,2018-05-01,2018-05-31
耳机线夹,679,72313,3845,0.0,-87.28,0.0,-47.74,106.5,18.81,2018-05-01,2018-05-31
单反机身盖,2117,71573,6916,0.0,6.52,0.0,-8.56,33.81,10.35,2018-05-01,2018-05-31
保护箱,32,70913,2420,0.0,-33.51,0.0,-42.01,2216.03,29.3,2018-05-01,2018-05-31
网络切换器,1086,69791,2329,0.0,40.66,0.0,7.28,64.26,29.97,2018-05-01,2018-05-31
键盘刷,5475,67918,17435,0.0,-6.87,0.0,-34.06,12.41,3.9,2018-05-01,2018-05-31
USB暖手宝/暖手袋,595,65761,7534,0.0,99.37,0.0,59.32,110.52,8.73,2018-05-01,2018-05-31
电纸书充电器,706,64245,2259,0.0,-22.72,0.0,-25.0,91.0,28.44,2018-05-01,2018-05-31
单反/单电适配器,679,63478,2213,0.0,-8.44,0.0,15.16,93.49,28.68,2018-05-01,2018-05-31
Lomo镜头,13,61880,1988,0.0,1889.12,0.0,325.42,4760.0,31.13,2018-05-01,2018-05-31
专业摄影背心,32,60285,2642,0.0,-32.86,0.0,-48.89,1883.91,22.82,2018-05-01,2018-05-31
相机挂绳,2105,56450,10535,0.0,-16.62,0.0,23.63,26.82,5.36,2018-05-01,2018-05-31
cmos清洁,1792,55166,5758,0.0,42.77,0.0,-8.46,30.78,9.58,2018-05-01,2018-05-31
USB保暖坐垫/靠垫,1212,54451,2678,0.0,67.49,0.0,692.38,44.93,20.33,2018-05-01,2018-05-31
对焦屏,88,54286,2248,0.0,-24.04,0.0,-33.18,616.89,24.15,2018-05-01,2018-05-31
镜头袋/镜头筒,677,52183,8301,0.0,-33.44,0.0,-33.85,77.08,6.29,2018-05-01,2018-05-31
数码望远镜,15,52007,2836,0.0,36.86,0.0,34.82,3467.13,18.34,2018-05-01,2018-05-31
MP3/MP4充电器,676,50814,2881,0.0,-24.31,0.0,-39.53,75.17,17.64,2018-05-01,2018-05-31
数码伴侣,510,49217,4196,0.0,-70.19,0.0,66.99,96.5,11.73,2018-05-01,2018-05-31
USB按摩器,1230,48808,10015,0.0,-18.5,0.0,-33.4,39.68,4.87,2018-05-01,2018-05-31
包/箱配件,425,47570,5334,0.0,-45.86,0.0,-32.03,111.93,8.92,2018-05-01,2018-05-31
热靴水平仪,2082,46576,9759,0.0,-10.23,0.0,-16.74,22.37,4.77,2018-05-01,2018-05-31
MP3/MP4连接线,606,36889,2118,0.0,44.25,0.0,-10.9,60.87,17.42,2018-05-01,2018-05-31
自拍镜头,1843,26212,9921,0.0,-32.0,0.0,-26.82,14.22,2.64,2018-05-01,2018-05-31
USB烟灰缸,1038,13887,10227,0.0,391.67,0.0,373.55,13.38,1.36,2018-05-01,2018-05-31
毛刷,1269,10999,2164,0.0,-31.64,0.0,-24.58,8.67,5.08,2018-05-01,2018-05-31
USB保温碟/保温垫,680,10882,17296,0.0,395.25,0.0,209.85,16.0,0.63,2018-05-01,2018-05-31
耳塞保护套,619,10881,6539,0.0,-33.97,0.0,-1.95,17.58,1.66,2018-05-01,2018-05-31
Lomo相机包,23,8712,1387,0.0,87.53,0.0,25.54,378.78,6.28,2018-05-01,2018-05-31
电纸书防护包,682,7596,8992,0.0,-43.75,0.0,17.62,11.14,0.84,2018-05-01,2018-05-31
USB氧吧/空气清新器,43,7574,2108,0.0,99.38,0.0,137.53,176.14,3.59,2018-05-01,2018-05-31
USB碎纸机,494,7564,9486,0.0,159.55,0.0,87.35,15.31,0.8,2018-05-01,2018-05-31
白平衡镜,7,6751,678,0.0,-33.35,0.0,-96.95,964.43,9.96,2018-05-01,2018-05-31
MP3/MP4支架,25,6749,1983,0.0,-10.35,0.0,-46.03,269.96,3.4,2018-05-01,2018-05-31
电纸书数据线,32,6125,1757,0.0,-43.35,0.0,-70.22,191.41,3.49,2018-05-01,2018-05-31
USB暖手套/暖脚鞋,317,5042,2091,0.0,-8.47,0.0,17.63,15.91,2.41,2018-05-01,2018-05-31
摄影梯,5,4444,514,0.0,-35.66,0.0,-30.55,888.8,8.65,2018-05-01,2018-05-31
MP4屏幕保护膜,26,4298,1833,0.0,-47.89,0.0,-35.6,165.31,2.34,2018-05-01,2018-05-31
Lomo闪光灯,1,3122,196,0.0,771.35,0.0,127.33,3122.0,15.93,2018-05-01,2018-05-31
移动支付终端机,3,1144,677,0.0,-98.75,0.0,-96.33,381.33,1.69,2018-05-01,2018-05-31
分压盒,5,133,363,0.0,-46.23,0.0,125.06,26.6,0.37,2018-05-01,2018-05-31
苹果卡贴,1,54,288,0.0,-98.53,0.0,-56.89,54.0,0.19,2018-05-01,2018-05-31
Lomo潜水盒,0,9,4,0.0,79.36,0.0,0.0,0.0,2.25,2018-05-01,2018-05-31
手机保护套/壳,25437937,404071002,37470224,27.51,11.59,56.02,-14.62,15.88,10.78,2018-06-01,2018-06-30
手机贴膜,17057195,197629205,22273194,12.59,24.71,28.31,-4.45,11.59,8.87,2018-06-01,2018-06-30
移动电源,3217998,192754783,9607450,11.86,19.95,8.96,11.2,59.9,20.06,2018-06-01,2018-06-30
手机零部件,1374294,187461595,6131919,11.41,-3.46,3.79,-33.61,136.41,30.57,2018-06-01,2018-06-30
手机数据线,4124323,155128125,7188860,7.98,11.13,11.35,11.34,37.61,21.58,2018-06-01,2018-06-30
USB风扇,2224452,118188238,9711139,5.42,107.84,7.62,41.67,53.13,12.17,2018-06-01,2018-06-30
手机充电器,2088253,112642501,5714414,5.11,92.22,6.98,68.5,53.94,19.71,2018-06-01,2018-06-30
手机支架/手机座,2122614,83242521,5584233,2.84,22.63,7.28,-8.59,39.22,14.91,2018-06-01,2018-06-30
手机电池,698274,79428179,2328412,2.82,38.15,1.58,-4.41,113.75,34.11,2018-06-01,2018-06-30
平板电脑保护套/壳,893769,70917370,2305088,2.14,-5.22,2.94,-16.78,79.35,30.77,2018-06-01,2018-06-30
数据线,2822603,63271047,5308127,1.58,-5.23,8.13,-8.0,22.42,11.92,2018-06-01,2018-06-30
笔记本零部件,77391,62459334,584271,1.58,-19.49,0.08,-36.79,807.06,106.9,2018-06-01,2018-06-30
其它配件,296718,49725008,2239240,0.92,-24.77,0.33,-32.96,167.58,22.21,2018-06-01,2018-06-30
影室灯,43197,31736311,240104,0.67,39.46,0.03,31.2,734.69,132.18,2018-06-01,2018-06-30
笔记本电脑包,400379,31447511,1544241,0.67,-6.9,0.46,3.18,78.54,20.36,2018-06-01,2018-06-30
手机镜头,239496,31312284,1308322,0.66,176.18,0.32,88.18,130.74,23.93,2018-06-01,2018-06-30
普通干电池,612639,31130472,1227634,0.66,61.86,1.32,28.56,50.81,25.36,2018-06-01,2018-06-30
云台,25889,30919642,315321,0.62,135.77,0.02,83.32,1194.32,98.06,2018-06-01,2018-06-30
自拍杆/架,455673,27738895,1178579,0.48,11.35,0.59,7.74,60.87,23.54,2018-06-01,2018-06-30
遥控设备,836829,27663907,1970783,0.48,19.52,2.85,15.16,33.06,14.04,2018-06-01,2018-06-30
背景布类,224335,20985789,1088036,0.4,41.93,0.3,22.86,93.55,19.29,2018-06-01,2018-06-30
USB HUB/转换器,219643,18897357,594809,0.36,41.31,0.3,11.6,86.04,31.77,2018-06-01,2018-06-30
脚架,51208,18861484,312130,0.36,-12.42,0.04,-25.18,368.33,60.43,2018-06-01,2018-06-30
分配器/分频器/分支器,33992,18688109,101584,0.35,405.01,0.03,66.25,549.78,183.97,2018-06-01,2018-06-30
耳机保护套,295345,18602548,750746,0.35,212.85,0.33,48.35,62.99,24.78,2018-06-01,2018-06-30
摄像机配件,27424,17689439,394650,0.33,-18.5,0.02,-15.08,645.03,44.82,2018-06-01,2018-06-30
手写笔,61694,17105217,417766,0.31,211.05,0.05,67.09,277.26,40.94,2018-06-01,2018-06-30
笔记本电池,51414,15968664,210087,0.3,11.16,0.04,-7.73,310.59,76.01,2018-06-01,2018-06-30
数码相机包,64182,14499393,367104,0.3,-9.33,0.06,-17.61,225.91,39.5,2018-06-01,2018-06-30
笔记本电源,78849,13011390,360579,0.26,-9.99,0.08,-2.52,165.02,36.08,2018-06-01,2018-06-30
通用电池充电套装,187764,12580731,384668,0.21,-9.11,0.28,-7.97,67.0,32.71,2018-06-01,2018-06-30
纽扣电池,463060,12177141,704808,0.21,14.57,0.66,17.18,26.3,17.28,2018-06-01,2018-06-30
数码收纳整理包,227000,11209919,761489,0.12,23.64,0.31,-9.14,49.38,14.72,2018-06-01,2018-06-30
笔记本炫彩贴,131491,10255720,740834,0.12,24.55,0.21,7.81,78.0,13.84,2018-06-01,2018-06-30
手机挂件/手机链,459897,9908363,1927230,0.11,60.59,0.66,36.64,21.54,5.14,2018-06-01,2018-06-30
笔记本散热器/降温卡,102001,9894112,509298,0.11,-9.07,0.12,-34.72,97.0,19.43,2018-06-01,2018-06-30
滤镜,43556,9831344,107496,0.11,-11.15,0.03,-8.46,225.72,91.46,2018-06-01,2018-06-30
平板电脑零部件,43218,9518494,328554,0.11,11.23,0.03,-32.16,220.24,28.97,2018-06-01,2018-06-30
摄影棚,25910,9268250,97661,0.11,12.77,0.02,15.57,357.71,94.9,2018-06-01,2018-06-30
苹果视频线/转换线,54245,9220561,446950,0.11,36.71,0.05,25.0,169.98,20.63,2018-06-01,2018-06-30
USB电脑锁/防盗器,25834,7453730,96236,0.08,172.35,0.02,88.93,288.52,77.45,2018-06-01,2018-06-30
快显胶片,43194,6831928,97774,0.08,-0.95,0.03,-8.48,158.17,69.87,2018-06-01,2018-06-30
笔记本多功能支架/桌,63971,6757996,389041,0.08,58.08,0.06,68.74,105.64,17.37,2018-06-01,2018-06-30
读卡器,96489,6709209,400478,0.07,13.54,0.11,2.9,69.53,16.75,2018-06-01,2018-06-30
平板电脑屏幕贴膜,222686,6660558,400196,0.07,-16.79,0.3,-33.16,29.91,16.64,2018-06-01,2018-06-30
数码相机电池,45477,6472104,96459,0.07,7.75,0.03,7.62,142.32,67.1,2018-06-01,2018-06-30
USB加湿器,96410,6458851,506681,0.07,1854.86,0.11,2844.8,66.99,12.75,2018-06-01,2018-06-30
相机闪光灯,8684,6394578,52131,0.06,-18.04,0.01,-14.24,736.36,122.66,2018-06-01,2018-06-30
防潮箱,10305,6187490,47625,0.06,11.45,0.01,8.98,600.44,129.92,2018-06-01,2018-06-30
笔记本键盘保护膜,298999,6020243,603759,0.06,11.07,0.35,-8.13,20.13,9.97,2018-06-01,2018-06-30
转接环,8510,5735198,47883,0.05,20.76,0.0,-18.46,673.94,119.78,2018-06-01,2018-06-30
耳机绕线器,388929,5615342,705372,0.05,-31.59,0.45,-32.47,14.44,7.96,2018-06-01,2018-06-30
视频线/音频线/AV线,112013,5500651,500074,0.04,75.94,0.13,88.01,49.11,11.0,2018-06-01,2018-06-30
数码维修工具,44269,5382253,310795,0.04,64.96,0.03,53.02,121.58,17.32,2018-06-01,2018-06-30
笔记本屏幕贴膜,59541,5375419,301183,0.04,33.86,0.05,11.14,90.28,17.85,2018-06-01,2018-06-30
笔记本膝上桌,89391,5367413,748700,0.04,409.54,0.09,468.24,60.04,7.17,2018-06-01,2018-06-30
涂鸦笔,19389,4641356,78714,0.04,128.77,0.02,288.19,239.38,58.96,2018-06-01,2018-06-30
辅助道具类,45879,4165671,320632,0.04,-32.2,0.03,-31.47,90.8,12.99,2018-06-01,2018-06-30
PDA/掌上电脑,3193,3846639,58566,0.04,4.33,0.0,11.77,1204.71,65.68,2018-06-01,2018-06-30
车载充电器,51465,3770968,447908,0.04,9.26,0.04,7.28,73.27,8.42,2018-06-01,2018-06-30
外拍灯,2341,3761757,42470,0.04,64.99,0.0,61.57,1606.9,88.57,2018-06-01,2018-06-30
数码显微镜,5803,3598087,53126,0.04,14.08,0.0,12.27,620.04,67.73,2018-06-01,2018-06-30
手机防尘塞,64163,3477960,447270,0.03,28.05,0.06,-8.49,54.21,7.78,2018-06-01,2018-06-30
灯附件,13443,3438018,48099,0.03,11.09,0.01,-10.37,255.75,71.48,2018-06-01,2018-06-30
USB翻页激光笔,43067,3433488,68407,0.03,11.25,0.03,19.21,79.72,50.19,2018-06-01,2018-06-30
胶卷,10411,3284188,58672,0.03,7.75,0.01,19.4,315.45,55.98,2018-06-01,2018-06-30
射频器/转换器,12957,3154817,66919,0.03,-4.2,0.01,3.38,243.48,47.14,2018-06-01,2018-06-30
18650电池,10039,2780350,75049,0.03,-7.97,0.01,-17.14,276.95,37.05,2018-06-01,2018-06-30
手机贴纸,82610,2610431,576124,0.03,-24.47,0.08,-33.64,31.6,4.53,2018-06-01,2018-06-30
清洁套装,84099,2558133,281041,0.03,-2.5,0.08,-6.85,30.42,9.1,2018-06-01,2018-06-30
平板电脑支架,19420,2498119,96191,0.03,-24.48,0.02,-34.31,128.64,25.97,2018-06-01,2018-06-30
数码相框,2109,2485189,43123,0.03,7.48,0.0,-2.75,1178.37,57.63,2018-06-01,2018-06-30
苹果卡槽,58414,2416303,299621,0.03,-31.28,0.05,-8.12,41.37,8.06,2018-06-01,2018-06-30
电子书保护套,49687,2313656,168464,0.03,-24.48,0.04,-17.76,46.56,13.73,2018-06-01,2018-06-30
3G无线上网卡设备,5990,2273416,54650,0.03,-34.31,0.0,-30.41,379.54,41.6,2018-06-01,2018-06-30
USB驱蚊器,25895,2107925,296334,0.02,415.9,0.02,145.01,81.4,7.11,2018-06-01,2018-06-30
摄影包,5579,2106382,61784,0.02,13.37,0.0,-2.54,377.56,34.09,2018-06-01,2018-06-30
闪光灯配件,9552,2052105,43455,0.02,11.24,0.01,-9.33,214.84,47.22,2018-06-01,2018-06-30
相机背带,14074,1869701,72436,0.02,7.95,0.01,-0.2,132.85,25.81,2018-06-01,2018-06-30
节电器/省电器,16700,1778956,65978,0.02,38.48,0.01,20.98,106.52,26.96,2018-06-01,2018-06-30
平板电脑外接键盘,5851,1770738,254816,0.02,-26.82,0.0,2.53,302.64,6.95,2018-06-01,2018-06-30
USB延长线,43801,1717468,80196,0.02,11.7,0.03,-9.08,39.21,21.42,2018-06-01,2018-06-30
笔记本个性小贴纸,50042,1510785,457457,0.02,23.69,0.04,40.77,30.19,3.3,2018-06-01,2018-06-30
USB灯,48467,1435713,299857,0.02,0.31,0.03,-32.12,29.62,4.79,2018-06-01,2018-06-30
数码相机充电器,17677,1255196,50626,0.01,-24.69,0.01,-17.84,71.01,24.79,2018-06-01,2018-06-30
柔光器具,6622,1240877,25664,0.01,25.09,0.0,-9.15,187.39,48.35,2018-06-01,2018-06-30
触摸屏手套,22162,1237952,97979,0.01,172.15,0.02,23.83,55.86,12.63,2018-06-01,2018-06-30
镜头纸/镜头布,14899,1227739,43163,0.01,-6.17,0.01,-2.5,82.4,28.44,2018-06-01,2018-06-30
单反手柄,2107,1221187,26955,0.01,-23.0,0.0,-3.52,579.59,45.3,2018-06-01,2018-06-30
插头/接口,13294,1195621,72406,0.01,1.58,0.01,11.69,89.94,16.51,2018-06-01,2018-06-30
校色仪,881,1187195,9519,0.01,62.69,0.0,22.7,1347.55,124.72,2018-06-01,2018-06-30
快门线,9423,1187046,42927,0.01,-8.35,0.01,-20.49,125.97,27.65,2018-06-01,2018-06-30
单反/单电电池,2417,1186105,24896,0.01,-2.56,0.0,-33.28,490.73,47.64,2018-06-01,2018-06-30
快装板,8543,1169500,27311,0.01,11.75,0.0,11.07,136.9,42.82,2018-06-01,2018-06-30
3D立体眼镜,2110,1159169,43237,0.01,-34.06,0.0,-67.84,549.37,26.81,2018-06-01,2018-06-30
