类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
气吹,8561,380663,16002,0.0,8.18,0.01,-8.11,44.46,23.79,2017-11-01,2017-11-30
广角镜,617,380600,3936,0.0,-32.33,0.0,-35.84,616.86,96.7,2017-11-01,2017-11-30
苹果取卡针,15137,379164,43828,0.0,-33.15,0.01,11.76,25.05,8.65,2017-11-01,2017-11-30
RCA头,2780,374065,13729,0.0,25.67,0.0,22.71,134.56,27.25,2017-11-01,2017-11-30
一次成像相册,2608,371435,16745,0.0,23.66,0.0,17.59,142.42,22.18,2017-11-01,2017-11-30
FM/MP3发射器,844,370492,8924,0.0,-17.01,0.0,-48.34,438.97,41.52,2017-11-01,2017-11-30
保护箱,210,369536,2312,0.0,-7.79,0.0,-32.87,1759.7,159.83,2017-11-01,2017-11-30
KVM,331,369284,2119,0.0,11.12,0.0,-39.65,1115.66,174.27,2017-11-01,2017-11-30
数据连接线,1071,205693,8283,0.0,203.77,0.0,-8.48,192.06,24.83,2017-11-01,2017-11-30
相机/摄像机专用充电套装,1253,201689,7638,0.0,-11.99,0.0,-10.41,160.96,26.41,2017-11-01,2017-11-30
手机智能按键,681,187471,8892,0.0,779.36,0.0,56.56,275.29,21.08,2017-11-01,2017-11-30
相机眼罩,3112,178505,9849,0.0,-2.96,0.0,-9.61,57.36,18.12,2017-11-01,2017-11-30
电纸书屏幕贴膜,2480,158103,10179,0.0,-35.55,0.0,-2.54,63.75,15.53,2017-11-01,2017-11-30
USB Humping Dog,678,152096,1999,0.0,306.53,0.0,377.58,224.33,76.09,2017-11-01,2017-11-30
液晶屏保护膜,3450,149919,11077,0.0,-49.43,0.0,-52.5,43.45,13.53,2017-11-01,2017-11-30
相片角贴,11144,139058,48008,0.0,18.25,0.01,7.83,12.48,2.9,2017-11-01,2017-11-30
电池收纳盒,5086,127338,10216,0.0,11.81,0.0,-17.99,25.04,12.46,2017-11-01,2017-11-30
相机色卡,681,126798,2129,0.0,71.77,0.0,107.87,186.19,59.56,2017-11-01,2017-11-30
电纸书充电器,1637,125991,3229,0.0,-11.56,0.0,-24.32,76.96,39.02,2017-11-01,2017-11-30
单反/单电充电器,1947,120744,5816,0.0,-25.17,0.0,35.49,62.02,20.76,2017-11-01,2017-11-30
耳机线夹,801,118218,5751,0.0,169.84,0.0,66.46,147.59,20.56,2017-11-01,2017-11-30
高压气罐,1029,96855,4365,0.0,4.88,0.0,-3.57,94.13,22.19,2017-11-01,2017-11-30
电子书手写笔/电磁笔,2027,95834,11938,0.0,378.17,0.0,659.84,47.28,8.03,2017-11-01,2017-11-30
键盘刷,5852,92425,14305,0.0,-0.12,0.0,-34.72,15.79,6.46,2017-11-01,2017-11-30
专业摄影背心,24,90892,2098,0.0,150.2,0.0,-32.56,3787.17,43.32,2017-11-01,2017-11-30
