日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-11-01|2019-11-30,手机配件,1525956841,11.70%,65.36%,74.34%,543492,68.25%,106355,54.73%
2019-11-01|2019-11-30,移动电源,212935197,25.52%,11.80%,3.63%,77732,9.76%,10145,5.22%
2019-11-01|2019-11-30,单反/单电相机配件,190440119,40.53%,11.25%,1.94%,219123,27.52%,17547,9.03%
2019-11-01|2019-11-30,笔记本电脑配件,180525785,12.80%,10.60%,3.16%,231140,29.03%,22682,11.67%
2019-11-01|2019-11-30,USB数码周边,155313594,56.78%,7.28%,2.04%,269560,33.85%,18487,9.51%
2019-11-01|2019-11-30,数码周边,149455369,19.81%,6.44%,4.49%,168474,21.16%,21883,11.26%
2019-11-01|2019-11-30,平板电脑配件,133800793,23.46%,5.52%,2.02%,105231,13.22%,10236,5.27%
2019-11-01|2019-11-30,干电池/充电电池/套装,103546424,33.20%,3.02%,2.59%,88055,11.06%,12627,6.50%
2019-11-01|2019-11-30,MP3/MP4配件,77061659,27.52%,1.12%,2.04%,82740,10.39%,10377,5.34%
2019-11-01|2019-11-30,其它配件,51396643,-9.06%,0.86%,0.36%,89987,11.30%,10605,5.46%
2019-11-01|2019-11-30,家电影音周边配件,46096701,8.39%,0.72%,1.07%,119476,15.00%,11868,6.11%
2019-11-01|2019-11-30,胶片相机配件,32710367,37.01%,0.52%,0.29%,62304,7.82%,2505,1.29%
2019-11-01|2019-11-30,数码相机配件,31807167,40.38%,0.50%,0.27%,51852,6.51%,4103,2.11%
2019-11-01|2019-11-30,数码包/收纳/整理,29270061,36.21%,0.44%,1.34%,127862,16.06%,9721,5.00%
2019-11-01|2019-11-30,摄像机配件,17434379,39.40%,0.27%,0.05%,22304,2.80%,2470,1.27%
2019-11-01|2019-11-30,车载手机配件,17311896,33.37%,0.26%,0.26%,127123,15.96%,8332,4.29%
2019-11-01|2019-11-30,数码相框,3335441,64.90%,0.03%,0.01%,5847,0.73%,174,0.09%
2019-11-01|2019-11-30,电子书配件,2778887,24.82%,0.02%,0.08%,17089,2.15%,1446,0.74%
2019-11-01|2019-11-30,3G无线上网卡设备,867178,6.14%,0.01%,0.00,1822,0.23%,156,0.08%
2019-11-01|2019-11-30,电教产品配件,765211,-23.41%,0.00,0.01%,4796,0.60%,548,0.28%
