日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-03-01|2019-03-31,手机配件,1385827231,23.23%,66.44%,75.55%,698950,72.87%,142648,59.96%
2019-03-01|2019-03-31,移动电源,192479242,34.01%,11.74%,3.62%,128550,13.40%,12681,5.33%
2019-03-01|2019-03-31,单反/单电相机配件,181316462,86.46%,11.17%,2.30%,297281,31.00%,21448,9.02%
2019-03-01|2019-03-31,笔记本电脑配件,177590686,45.56%,11.04%,3.26%,319510,33.31%,25439,10.69%
2019-03-01|2019-03-31,数码周边,136432146,36.19%,6.52%,4.52%,279399,29.13%,29073,12.22%
2019-03-01|2019-03-31,平板电脑配件,126285873,21.74%,5.62%,2.09%,183062,19.09%,13455,5.66%
2019-03-01|2019-03-31,USB数码周边,106671320,86.05%,4.36%,1.67%,334092,34.83%,20942,8.80%
2019-03-01|2019-03-31,干电池/充电电池/套装,88790227,31.34%,2.84%,2.14%,130054,13.56%,15730,6.61%
2019-03-01|2019-03-31,其它配件,56252978,44.27%,0.96%,0.40%,144929,15.11%,13527,5.69%
2019-03-01|2019-03-31,家电影音周边配件,55841254,45.05%,0.95%,1.31%,196744,20.51%,15869,6.67%
2019-03-01|2019-03-31,MP3/MP4配件,30902947,55.33%,0.52%,0.96%,109516,11.42%,9427,3.96%
2019-03-01|2019-03-31,数码相机配件,27542420,66.55%,0.46%,0.26%,74896,7.81%,4576,1.92%
2019-03-01|2019-03-31,数码包/收纳/整理,23381199,23.05%,0.40%,1.24%,188078,19.61%,11953,5.02%
2019-03-01|2019-03-31,胶片相机配件,18526788,32.38%,0.33%,0.21%,104610,10.91%,2465,1.04%
2019-03-01|2019-03-31,摄像机配件,16616367,82.61%,0.30%,0.05%,37549,3.91%,2581,1.08%
2019-03-01|2019-03-31,车载手机配件,13960288,48.38%,0.21%,0.30%,199364,20.79%,10582,4.45%
2019-03-01|2019-03-31,电子书配件,2892036,13.80%,0.03%,0.10%,28826,3.01%,1545,0.65%
2019-03-01|2019-03-31,数码相框,1874007,48.34%,0.02%,0.00,9137,0.95%,170,0.07%
2019-03-01|2019-03-31,3G无线上网卡设备,1372041,51.09%,0.01%,0.01%,3739,0.39%,221,0.09%
2019-03-01|2019-03-31,电教产品配件,870732,52.11%,0.01%,0.01%,15261,1.59%,681,0.29%
