日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-02-01|2019-02-28,手机配件,784982662,-24.62%,67.35%,77.62%,650377,72.32%,121114,60.28%
2019-02-01|2019-02-28,移动电源,182049512,-32.78%,11.72%,3.38%,121159,13.47%,10647,5.30%
2019-02-01|2019-02-28,笔记本电脑配件,155369380,-9.14%,9.15%,2.93%,290764,32.33%,20541,10.22%
2019-02-01|2019-02-28,单反/单电相机配件,140580066,-24.61%,8.09%,1.52%,266125,29.59%,15732,7.83%
2019-02-01|2019-02-28,数码周边,109797927,-8.25%,6.36%,4.43%,257378,28.62%,23555,11.72%
2019-02-01|2019-02-28,平板电脑配件,107525422,-14.89%,6.28%,2.31%,170003,18.90%,11994,5.97%
2019-02-01|2019-02-28,干电池/充电电池/套装,64578498,-30.37%,2.84%,2.17%,117706,13.09%,13157,6.55%
2019-02-01|2019-02-28,USB数码周边,60019591,-33.85%,2.82%,1.04%,306722,34.11%,15172,7.55%
2019-02-01|2019-02-28,其它配件,33420313,-21.58%,0.90%,0.37%,134363,14.94%,10956,5.45%
2019-02-01|2019-02-28,家电影音周边配件,33075116,-33.18%,0.89%,1.34%,180786,20.10%,12920,6.43%
2019-02-01|2019-02-28,MP3/MP4配件,19671141,-0.08%,0.46%,0.78%,96285,10.71%,7015,3.49%
2019-02-01|2019-02-28,数码包/收纳/整理,19044047,-8.36%,0.43%,1.28%,166885,18.56%,9960,4.96%
2019-02-01|2019-02-28,数码相机配件,17666330,-31.62%,0.38%,0.20%,68093,7.57%,3719,1.85%
2019-02-01|2019-02-28,胶片相机配件,14143293,-32.90%,0.33%,0.19%,90357,10.05%,2043,1.02%
2019-02-01|2019-02-28,车载手机配件,7905283,-31.57%,0.12%,0.26%,176437,19.62%,7988,3.98%
2019-02-01|2019-02-28,摄像机配件,7111071,-33.24%,0.11%,0.04%,34687,3.86%,2185,1.09%
2019-02-01|2019-02-28,电子书配件,2670876,-21.09%,0.03%,0.12%,25183,2.80%,1413,0.70%
2019-02-01|2019-02-28,数码相框,1373437,-35.56%,0.02%,0.00,8410,0.94%,138,0.07%
2019-02-01|2019-02-28,3G无线上网卡设备,1156400,-32.08%,0.01%,0.00,3238,0.36%,180,0.09%
2019-02-01|2019-02-28,电教产品配件,645177,-7.47%,0.01%,0.01%,14236,1.58%,568,0.28%
