日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-04-01|2019-04-30,手机配件,943277993,-10.41%,65.68%,73.94%,718569,72.69%,141065,58.90%
2019-04-01|2019-04-30,移动电源,189373840,-14.62%,11.70%,3.35%,128874,13.04%,12237,5.11%
2019-04-01|2019-04-30,单反/单电相机配件,178680535,-8.44%,11.19%,2.22%,312309,31.59%,21374,8.92%
2019-04-01|2019-04-30,笔记本电脑配件,172370475,-19.26%,9.26%,2.72%,330836,33.47%,24524,10.24%
2019-04-01|2019-04-30,USB数码周边,156668935,74.21%,8.14%,4.15%,356253,36.04%,26880,11.22%
2019-04-01|2019-04-30,数码周边,129336152,-8.73%,6.50%,4.39%,285454,28.88%,28376,11.85%
2019-04-01|2019-04-30,平板电脑配件,116163153,-13.24%,5.28%,2.03%,185858,18.80%,12737,5.32%
2019-04-01|2019-04-30,干电池/充电电池/套装,74756364,-18.45%,2.32%,2.02%,136888,13.85%,15402,6.43%
2019-04-01|2019-04-30,家电影音周边配件,54030437,-2.99%,1.12%,1.48%,202650,20.50%,15907,6.64%
2019-04-01|2019-04-30,其它配件,50842003,-8.62%,0.96%,0.38%,148230,14.99%,12937,5.40%
2019-04-01|2019-04-30,MP3/MP4配件,35742916,25.08%,0.84%,1.22%,115902,11.72%,9962,4.16%
2019-04-01|2019-04-30,数码相机配件,26199087,-8.50%,0.46%,0.26%,80811,8.17%,4532,1.89%
2019-04-01|2019-04-30,数码包/收纳/整理,18892202,-23.10%,0.37%,1.14%,196184,19.85%,11880,4.96%
2019-04-01|2019-04-30,胶片相机配件,18065153,-4.99%,0.33%,0.21%,110092,11.14%,2461,1.03%
2019-04-01|2019-04-30,摄像机配件,14831457,-3.85%,0.30%,0.05%,38923,3.94%,2550,1.06%
2019-04-01|2019-04-30,车载手机配件,12991085,-8.12%,0.26%,0.31%,210667,21.31%,10716,4.47%
2019-04-01|2019-04-30,电子书配件,2317496,-24.70%,0.03%,0.09%,30464,3.08%,1495,0.62%
2019-04-01|2019-04-30,数码相框,1759839,-8.94%,0.02%,0.00,9436,0.95%,157,0.07%
2019-04-01|2019-04-30,3G无线上网卡设备,1256809,-17.38%,0.01%,0.01%,3950,0.40%,208,0.09%
2019-04-01|2019-04-30,电教产品配件,602868,-33.45%,0.00,0.01%,14764,1.49%,608,0.25%
