日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-07-01|2019-07-31,手机配件,1342041538,0.84%,65.64%,73.66%,681540,69.89%,139744,56.58%
2019-07-01|2019-07-31,移动电源,190362251,-8.49%,11.51%,2.93%,115100,11.80%,12026,4.87%
2019-07-01|2019-07-31,USB数码周边,180206960,-9.20%,11.12%,4.90%,370914,38.03%,34730,14.06%
2019-07-01|2019-07-31,单反/单电相机配件,176783563,-14.08%,10.89%,1.76%,296302,30.38%,20566,8.33%
2019-07-01|2019-07-31,笔记本电脑配件,175794774,11.22%,10.33%,2.80%,303210,31.09%,26403,10.69%
2019-07-01|2019-07-31,数码周边,134029965,-3.33%,6.31%,4.08%,249798,25.61%,26908,10.89%
2019-07-01|2019-07-31,平板电脑配件,122194566,6.28%,5.08%,1.95%,159211,16.33%,12608,5.10%
2019-07-01|2019-07-31,干电池/充电电池/套装,85333132,-1.15%,2.62%,2.11%,133415,13.68%,15261,6.18%
2019-07-01|2019-07-31,家电影音周边配件,83129634,11.33%,2.17%,2.12%,186880,19.16%,16336,6.61%
2019-07-01|2019-07-31,MP3/MP4配件,45951820,-7.85%,0.83%,1.37%,111416,11.42%,10787,4.37%
2019-07-01|2019-07-31,其它配件,38697847,0.07%,0.81%,0.35%,136220,13.97%,12493,5.06%
2019-07-01|2019-07-31,数码相机配件,23134645,-17.83%,0.40%,0.21%,82760,8.49%,4707,1.91%
2019-07-01|2019-07-31,胶片相机配件,22759651,8.81%,0.40%,0.23%,97119,9.96%,2557,1.04%
2019-07-01|2019-07-31,数码包/收纳/整理,20405873,-8.11%,0.37%,1.14%,178720,18.33%,11784,4.77%
2019-07-01|2019-07-31,摄像机配件,14038242,-9.34%,0.21%,0.05%,35395,3.63%,2565,1.04%
2019-07-01|2019-07-31,车载手机配件,11070318,-8.50%,0.11%,0.24%,188998,19.38%,10422,4.22%
2019-07-01|2019-07-31,电子书配件,2121081,-6.90%,0.02%,0.08%,26882,2.76%,1678,0.68%
2019-07-01|2019-07-31,数码相框,2045744,11.33%,0.02%,0.00,9561,0.98%,175,0.07%
2019-07-01|2019-07-31,3G无线上网卡设备,894598,-32.07%,0.01%,0.00,3439,0.35%,203,0.08%
2019-07-01|2019-07-31,电教产品配件,879324,67.35%,0.01%,0.01%,11155,1.14%,636,0.26%
