日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-06-01|2019-06-30,手机配件,1330982428,8.02%,65.36%,72.77%,674779,70.03%,139321,56.70%
2019-06-01|2019-06-30,移动电源,192537333,12.85%,11.72%,3.19%,116676,12.11%,12090,4.92%
2019-06-01|2019-06-30,USB数码周边,184902698,0.32%,11.20%,5.57%,361554,37.53%,36544,14.87%
2019-06-01|2019-06-30,单反/单电相机配件,181613178,11.77%,11.14%,1.87%,295801,30.70%,20708,8.43%
2019-06-01|2019-06-30,笔记本电脑配件,174262947,11.24%,8.76%,2.73%,300536,31.19%,24897,10.13%
2019-06-01|2019-06-30,数码周边,137649653,11.24%,6.37%,4.33%,255172,26.48%,27396,11.15%
2019-06-01|2019-06-30,平板电脑配件,118287441,18.73%,4.85%,1.87%,162084,16.82%,12295,5.00%
2019-06-01|2019-06-30,干电池/充电电池/套装,85931498,15.34%,2.62%,2.03%,136336,14.15%,15336,6.24%
2019-06-01|2019-06-30,家电影音周边配件,74379996,11.47%,1.58%,1.81%,191144,19.84%,16341,6.65%
2019-06-01|2019-06-30,MP3/MP4配件,47999732,19.13%,0.86%,1.44%,111551,11.58%,10498,4.27%
2019-06-01|2019-06-30,其它配件,38404747,-9.14%,0.81%,0.37%,137892,14.31%,12678,5.16%
2019-06-01|2019-06-30,数码相机配件,27767070,17.39%,0.46%,0.24%,84031,8.72%,4857,1.98%
2019-06-01|2019-06-30,数码包/收纳/整理,22008688,22.94%,0.39%,1.15%,179858,18.67%,11780,4.79%
2019-06-01|2019-06-30,胶片相机配件,20959181,-2.70%,0.38%,0.23%,100444,10.42%,2468,1.00%
2019-06-01|2019-06-30,摄像机配件,16524047,4.02%,0.28%,0.05%,35692,3.70%,2564,1.04%
2019-06-01|2019-06-30,车载手机配件,11901274,-4.68%,0.12%,0.25%,192710,20.00%,10614,4.32%
2019-06-01|2019-06-30,电子书配件,2340300,0.90%,0.02%,0.08%,28151,2.92%,1653,0.67%
2019-06-01|2019-06-30,数码相框,1870925,-7.09%,0.02%,0.00,9382,0.97%,166,0.07%
2019-06-01|2019-06-30,3G无线上网卡设备,1179528,23.72%,0.01%,0.00,3672,0.38%,202,0.08%
2019-06-01|2019-06-30,电教产品配件,565208,4.79%,0.00,0.01%,11972,1.24%,548,0.22%
