日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-09-01|2019-09-30,手机配件,1433317460,0.02%,66.23%,76.04%,644711,69.08%,124489,56.19%
2019-09-01|2019-09-30,移动电源,194144226,-7.61%,11.75%,3.33%,105763,11.33%,11320,5.11%
2019-09-01|2019-09-30,单反/单电相机配件,179788630,7.72%,11.09%,1.73%,271949,29.14%,19010,8.58%
2019-09-01|2019-09-30,笔记本电脑配件,179072148,0.27%,11.08%,3.14%,280897,30.10%,26187,11.82%
2019-09-01|2019-09-30,数码周边,139702204,-0.73%,6.52%,4.70%,219501,23.52%,24324,10.98%
2019-09-01|2019-09-30,平板电脑配件,126619204,-4.29%,5.50%,1.94%,143916,15.42%,12015,5.42%
2019-09-01|2019-09-30,USB数码周边,120891076,-32.17%,4.98%,1.69%,335681,35.97%,22355,10.09%
2019-09-01|2019-09-30,干电池/充电电池/套装,84954753,-0.04%,2.49%,2.12%,119169,12.77%,13865,6.26%
2019-09-01|2019-09-30,MP3/MP4配件,53904798,-18.72%,0.92%,1.63%,101677,10.89%,10751,4.85%
2019-09-01|2019-09-30,其它配件,52799196,20.68%,0.91%,0.35%,124299,13.32%,11458,5.17%
2019-09-01|2019-09-30,家电影音周边配件,48505560,-21.57%,0.87%,1.21%,164453,17.62%,13794,6.23%
2019-09-01|2019-09-30,数码相机配件,27299088,17.16%,0.45%,0.23%,72945,7.82%,4494,2.03%
2019-09-01|2019-09-30,胶片相机配件,26813828,-0.06%,0.43%,0.24%,81761,8.76%,2579,1.16%
2019-09-01|2019-09-30,数码包/收纳/整理,23709952,-3.70%,0.40%,1.21%,161092,17.26%,10887,4.91%
2019-09-01|2019-09-30,摄像机配件,14108377,8.66%,0.21%,0.05%,32259,3.46%,2459,1.11%
2019-09-01|2019-09-30,车载手机配件,11746676,-7.66%,0.12%,0.25%,162016,17.36%,9155,4.13%
2019-09-01|2019-09-30,电子书配件,3819368,52.05%,0.03%,0.10%,24158,2.59%,1547,0.70%
2019-09-01|2019-09-30,数码相框,2773293,11.13%,0.03%,0.00,8895,0.95%,181,0.08%
2019-09-01|2019-09-30,电教产品配件,1221641,86.10%,0.01%,0.02%,8983,0.96%,689,0.31%
2019-09-01|2019-09-30,3G无线上网卡设备,1148381,22.86%,0.01%,0.00,2897,0.31%,174,0.08%
