日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-01-01|2020-01-31,手机配件,717139809,-32.04%,67.03%,77.72%,476639,66.60%,80848,53.00%
2020-01-01|2020-01-31,便携电源,175768130,NaN%,11.36%,2.83%,67864,9.48%,7949,5.21%
2020-01-01|2020-01-31,单反/单电相机配件,150389249,-35.18%,8.93%,1.42%,192927,26.96%,13152,8.62%
2020-01-01|2020-01-31,笔记本电脑配件,138657628,-34.68%,8.13%,2.42%,200291,27.99%,16575,10.87%
2020-01-01|2020-01-31,数码周边,109889387,-31.69%,6.68%,4.04%,148108,20.69%,17915,11.74%
2020-01-01|2020-01-31,平板电脑配件,109502750,-23.87%,6.64%,2.37%,90073,12.59%,8094,5.31%
2020-01-01|2020-01-31,USB数码周边,91149553,-47.72%,4.48%,1.18%,227987,31.86%,13192,8.65%
2020-01-01|2020-01-31,干电池/充电电池/套装,59762438,-35.03%,2.84%,2.38%,79951,11.17%,10579,6.94%
2020-01-01|2020-01-31,MP3/MP4配件,37243466,-32.86%,1.03%,1.79%,74321,10.38%,8112,5.32%
2020-01-01|2020-01-31,胶片相机配件,31631374,-17.29%,0.88%,0.43%,56024,7.83%,1988,1.30%
2020-01-01|2020-01-31,家电影音周边配件,31285893,-32.71%,0.87%,1.42%,106616,14.90%,9889,6.48%
2020-01-01|2020-01-31,其它配件,28621765,-33.96%,0.77%,0.29%,78392,10.95%,8203,5.38%
2020-01-01|2020-01-31,数码包/收纳/整理,18618106,-32.86%,0.41%,1.10%,109100,15.24%,7318,4.80%
2020-01-01|2020-01-31,数码相机配件,18000754,-34.24%,0.40%,0.23%,45430,6.35%,3352,2.20%
2020-01-01|2020-01-31,车载手机配件,7472751,-35.31%,0.12%,0.24%,105747,14.78%,6177,4.05%
2020-01-01|2020-01-31,摄像机配件,6407919,-42.29%,0.08%,0.04%,19708,2.75%,1842,1.21%
2020-01-01|2020-01-31,电子书配件,1922043,-31.59%,0.03%,0.08%,17481,2.44%,1161,0.76%
2020-01-01|2020-01-31,数码相框,1591622,-36.41%,0.02%,0.00,6047,0.84%,158,0.10%
2020-01-01|2020-01-31,3G无线上网卡设备,509377,-33.96%,0.00,0.00,1544,0.22%,121,0.08%
2020-01-01|2020-01-31,电教产品配件,459026,-35.57%,0.00,0.01%,4760,0.67%,373,0.24%
