日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-08-01|2020-08-31,手机配件,1520551589,1.58%,65.65%,72.80%,413081,60.80%,100113,53.44%
2020-08-01|2020-08-31,便携电源,189633485,21.55%,11.24%,2.82%,55931,8.23%,9188,4.91%
2020-08-01|2020-08-31,单反/单电相机配件,189344099,7.74%,11.23%,1.88%,165588,24.37%,21095,11.26%
2020-08-01|2020-08-31,笔记本电脑配件,183483146,11.77%,11.13%,3.35%,160534,23.63%,25064,13.38%
2020-08-01|2020-08-31,USB数码周边,172611272,-31.77%,8.12%,3.02%,232526,34.23%,31093,16.60%
2020-08-01|2020-08-31,数码周边,147908639,9.79%,6.62%,4.65%,127599,18.78%,24537,13.10%
2020-08-01|2020-08-31,平板电脑配件,143923234,17.69%,6.47%,2.32%,65527,9.64%,10540,5.63%
2020-08-01|2020-08-31,干电池/充电电池/套装,94364483,-0.71%,2.84%,2.59%,67241,9.90%,13819,7.38%
2020-08-01|2020-08-31,家电影音周边配件,59128276,-3.69%,0.91%,1.75%,85534,12.59%,13066,6.98%
2020-08-01|2020-08-31,MP3/MP4配件,55652015,15.04%,0.89%,1.75%,55477,8.17%,9899,5.28%
2020-08-01|2020-08-31,其它配件,53233844,-10.52%,0.88%,0.73%,62959,9.27%,10455,5.58%
2020-08-01|2020-08-31,胶片相机配件,30885957,19.68%,0.47%,1.00%,40249,5.92%,3110,1.66%
2020-08-01|2020-08-31,数码相机配件,21863543,11.86%,0.35%,0.20%,32415,4.77%,3698,1.97%
2020-08-01|2020-08-31,数码包/收纳/整理,19204535,13.63%,0.33%,0.96%,84961,12.51%,10256,5.48%
2020-08-01|2020-08-31,摄像机配件,14800465,-0.56%,0.21%,0.04%,19709,2.90%,2105,1.12%
2020-08-01|2020-08-31,车载手机配件,6114860,0.38%,0.04%,0.07%,23220,3.42%,2691,1.44%
2020-08-01|2020-08-31,数码相框,2856119,9.75%,0.03%,0.00,5535,0.81%,185,0.10%
2020-08-01|2020-08-31,电子书配件,2106337,-8.55%,0.02%,0.06%,12538,1.85%,1346,0.72%
2020-08-01|2020-08-31,电教产品配件,741355,11.32%,0.00,0.01%,3536,0.52%,497,0.27%
2020-08-01|2020-08-31,3G无线上网卡设备,461018,-33.86%,0.00,0.00,1215,0.18%,117,0.06%
2020-08-01|2020-08-31,数码家电保护贴,4919,-8.23%,0.00,0.00,191,0.03%,28,0.01%
