日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-10-01|2019-10-31,手机配件,1339447379,-4.04%,66.51%,76.16%,548456,68.47%,118238,56.12%
2019-10-01|2019-10-31,移动电源,191535933,-9.05%,11.72%,3.18%,79215,9.89%,10663,5.06%
2019-10-01|2019-10-31,单反/单电相机配件,177598572,-7.33%,11.08%,1.71%,225092,28.10%,18584,8.82%
2019-10-01|2019-10-31,笔记本电脑配件,176058106,-8.64%,11.03%,3.06%,237125,29.60%,24649,11.70%
2019-10-01|2019-10-31,数码周边,131398169,-8.11%,6.37%,4.63%,173881,21.71%,23428,11.12%
2019-10-01|2019-10-31,USB数码周边,120792741,-0.08%,5.23%,1.63%,277970,34.70%,19383,9.20%
2019-10-01|2019-10-31,平板电脑配件,120528183,-9.02%,5.19%,1.86%,109847,13.71%,10968,5.21%
2019-10-01|2019-10-31,干电池/充电电池/套装,87755191,6.86%,2.85%,2.44%,90090,11.25%,13402,6.36%
2019-10-01|2019-10-31,其它配件,59201715,10.82%,1.06%,0.41%,93893,11.72%,10993,5.22%
2019-10-01|2019-10-31,MP3/MP4配件,52418806,-3.03%,0.93%,1.70%,85240,10.64%,10821,5.14%
2019-10-01|2019-10-31,家电影音周边配件,37765745,-14.40%,0.83%,1.13%,124216,15.51%,12839,6.09%
2019-10-01|2019-10-31,胶片相机配件,27141386,1.26%,0.46%,0.27%,65535,8.18%,2626,1.25%
2019-10-01|2019-10-31,数码相机配件,24405484,-9.00%,0.43%,0.24%,54990,6.87%,4234,2.01%
2019-10-01|2019-10-31,数码包/收纳/整理,20973091,-9.10%,0.39%,1.18%,132340,16.52%,10441,4.96%
2019-10-01|2019-10-31,车载手机配件,12124967,3.03%,0.12%,0.26%,133721,16.69%,8872,4.21%
2019-10-01|2019-10-31,摄像机配件,11725295,-18.88%,0.12%,0.04%,22821,2.85%,2385,1.13%
2019-10-01|2019-10-31,电子书配件,2103874,-35.58%,0.02%,0.08%,18384,2.30%,1458,0.69%
2019-10-01|2019-10-31,数码相框,2086746,-24.03%,0.02%,0.01%,6149,0.77%,171,0.08%
2019-10-01|2019-10-31,电教产品配件,870932,-33.86%,0.01%,0.01%,5234,0.65%,621,0.29%
2019-10-01|2019-10-31,3G无线上网卡设备,851226,-32.67%,0.01%,0.00,1802,0.22%,155,0.07%
