日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-03-01|2020-03-31,手机配件,1644866053,68.32%,66.95%,74.84%,484163,66.24%,92921,53.80%
2020-03-01|2020-03-31,笔记本电脑配件,188245618,78.36%,11.19%,3.65%,194674,26.63%,21406,12.39%
2020-03-01|2020-03-31,单反/单电相机配件,187886415,99.12%,11.19%,2.31%,189605,25.94%,16927,9.80%
2020-03-01|2020-03-31,平板电脑配件,173581933,36.85%,8.12%,3.30%,85236,11.66%,10155,5.88%
2020-03-01|2020-03-31,便携电源,164534637,67.35%,7.75%,1.64%,65911,9.02%,7578,4.39%
2020-03-01|2020-03-31,数码周边,155612270,37.05%,7.36%,4.80%,144121,19.72%,21489,12.44%
2020-03-01|2020-03-31,USB数码周边,125679287,104.92%,4.89%,1.72%,222949,30.50%,18469,10.69%
2020-03-01|2020-03-31,干电池/充电电池/套装,96201340,67.41%,2.85%,2.61%,77556,10.61%,12798,7.41%
2020-03-01|2020-03-31,其它配件,82731873,14.65%,1.56%,0.37%,74181,10.15%,9711,5.62%
2020-03-01|2020-03-31,家电影音周边配件,49237068,67.42%,0.83%,1.44%,101857,13.93%,11540,6.68%
2020-03-01|2020-03-31,MP3/MP4配件,47235037,61.82%,0.79%,1.44%,70474,9.64%,8870,5.14%
2020-03-01|2020-03-31,胶片相机配件,44895236,62.55%,0.72%,0.37%,53206,7.28%,2657,1.54%
2020-03-01|2020-03-31,数码包/收纳/整理,19920532,42.74%,0.33%,1.04%,104604,14.31%,8597,4.98%
2020-03-01|2020-03-31,数码相机配件,17751932,95.36%,0.30%,0.17%,42464,5.81%,3435,1.99%
2020-03-01|2020-03-31,摄像机配件,10339178,99.22%,0.09%,0.04%,19414,2.66%,2063,1.19%
2020-03-01|2020-03-31,车载手机配件,9847815,87.11%,0.08%,0.20%,99908,13.67%,7205,4.17%
2020-03-01|2020-03-31,电子书配件,2327232,13.49%,0.02%,0.07%,16107,2.20%,1288,0.75%
2020-03-01|2020-03-31,数码相框,2069901,90.68%,0.02%,0.01%,5912,0.81%,152,0.09%
2020-03-01|2020-03-31,3G无线上网卡设备,846681,68.63%,0.00,0.00,1513,0.21%,136,0.08%
2020-03-01|2020-03-31,电教产品配件,735219,67.59%,0.00,0.01%,4423,0.61%,518,0.30%
2020-03-01|2020-03-31,数码家电保护贴,153,NaN%,0.00,0.00,22,0.00,6,0.00
