日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-04-01|2020-04-30,手机配件,1521281963,-8.62%,66.67%,74.13%,446185,64.22%,97069,53.83%
2020-04-01|2020-04-30,单反/单电相机配件,189421546,10.34%,11.33%,2.45%,172905,24.88%,18776,10.41%
2020-04-01|2020-04-30,笔记本电脑配件,180136071,-18.76%,11.06%,3.30%,172929,24.89%,22829,12.66%
2020-04-01|2020-04-30,便携电源,174397644,17.72%,8.49%,1.91%,57710,8.31%,7888,4.37%
2020-04-01|2020-04-30,平板电脑配件,155231395,-24.35%,7.72%,2.79%,72482,10.43%,10168,5.64%
2020-04-01|2020-04-30,数码周边,148457843,-10.17%,7.19%,5.24%,130035,18.71%,21986,12.19%
2020-04-01|2020-04-30,USB数码周边,147777405,27.91%,7.12%,2.71%,202781,29.18%,22496,12.47%
2020-04-01|2020-04-30,干电池/充电电池/套装,91231995,-9.11%,2.83%,2.54%,71056,10.23%,12829,7.11%
2020-04-01|2020-04-30,其它配件,64492232,-18.70%,0.99%,0.34%,65777,9.47%,9623,5.34%
2020-04-01|2020-04-30,家电影音周边配件,46253261,-8.97%,0.82%,1.38%,91208,13.13%,11776,6.53%
2020-04-01|2020-04-30,MP3/MP4配件,40201931,-8.19%,0.79%,1.41%,61605,8.87%,9231,5.12%
2020-04-01|2020-04-30,胶片相机配件,33344686,-14.40%,0.66%,0.32%,46296,6.66%,2841,1.58%
2020-04-01|2020-04-30,数码相机配件,18796568,18.08%,0.33%,0.19%,37039,5.33%,3609,2.00%
2020-04-01|2020-04-30,数码包/收纳/整理,18682583,-14.66%,0.32%,0.95%,91270,13.14%,9026,5.01%
2020-04-01|2020-04-30,摄像机配件,12247466,14.88%,0.12%,0.04%,18247,2.63%,2121,1.18%
2020-04-01|2020-04-30,车载手机配件,11260336,11.72%,0.11%,0.23%,86832,12.50%,8096,4.49%
2020-04-01|2020-04-30,数码相框,2779408,25.66%,0.03%,0.02%,5823,0.84%,167,0.09%
2020-04-01|2020-04-30,电子书配件,1887067,-18.20%,0.02%,0.06%,13668,1.97%,1268,0.70%
2020-04-01|2020-04-30,电教产品配件,675051,-9.05%,0.00,0.01%,3897,0.56%,506,0.28%
2020-04-01|2020-04-30,3G无线上网卡设备,645561,-31.39%,0.00,0.00,1348,0.19%,137,0.08%
2020-04-01|2020-04-30,数码家电保护贴,4436,1022.91%,0.00,0.00,64,0.01%,17,0.01%
