日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-12-01|2018-12-31,手机配件,1518931502,-3.01%,66.76%,76.30%,659356,72.36%,143706,60.70%
2018-12-01|2018-12-31,移动电源,213764644,-17.09%,12.62%,3.96%,125942,13.82%,13636,5.76%
2018-12-01|2018-12-31,单反/单电相机配件,174970776,-24.79%,8.92%,1.66%,269362,29.56%,18476,7.80%
2018-12-01|2018-12-31,笔记本电脑配件,173653498,-10.87%,8.39%,2.62%,294420,32.31%,23865,10.08%
2018-12-01|2018-12-31,USB数码周边,137106031,20.63%,6.28%,1.93%,318967,35.00%,20282,8.57%
2018-12-01|2018-12-31,数码周边,127259515,-8.44%,5.44%,4.50%,262317,28.79%,27860,11.77%
2018-12-01|2018-12-31,平板电脑配件,119948630,-11.16%,4.85%,1.80%,177834,19.52%,13090,5.53%
2018-12-01|2018-12-31,干电池/充电电池/套装,100914150,0.33%,3.03%,2.65%,120229,13.19%,15359,6.49%
2018-12-01|2018-12-31,家电影音周边配件,65597586,15.16%,1.03%,1.50%,185746,20.38%,15461,6.53%
2018-12-01|2018-12-31,其它配件,54739848,0.71%,0.91%,0.43%,138558,15.21%,12996,5.49%
2018-12-01|2018-12-31,数码相机配件,24607282,-19.58%,0.40%,0.21%,69973,7.68%,4200,1.77%
2018-12-01|2018-12-31,数码包/收纳/整理,23049765,-8.50%,0.39%,1.17%,170879,18.75%,11252,4.75%
2018-12-01|2018-12-31,MP3/MP4配件,19810559,-8.39%,0.35%,0.62%,97574,10.71%,7830,3.31%
2018-12-01|2018-12-31,胶片相机配件,19565085,3.97%,0.35%,0.23%,91880,10.08%,2382,1.01%
2018-12-01|2018-12-31,摄像机配件,17462169,-20.15%,0.30%,0.05%,35439,3.89%,2700,1.14%
2018-12-01|2018-12-31,车载手机配件,13996782,-7.01%,0.13%,0.25%,178041,19.54%,9556,4.04%
2018-12-01|2018-12-31,电子书配件,3191388,-13.91%,0.03%,0.10%,25570,2.81%,1524,0.64%
2018-12-01|2018-12-31,数码相框,2941676,-6.85%,0.03%,0.00,8790,0.96%,168,0.07%
2018-12-01|2018-12-31,3G无线上网卡设备,1641077,-31.62%,0.02%,0.01%,3031,0.33%,213,0.09%
2018-12-01|2018-12-31,电教产品配件,851157,-8.39%,0.01%,0.01%,16462,1.81%,606,0.26%
