日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-08-01|2019-08-31,手机配件,1432672203,4.66%,65.74%,75.07%,680524,69.84%,133833,56.65%
2019-08-01|2019-08-31,移动电源,200145996,21.05%,11.80%,3.40%,112978,11.59%,11759,4.98%
2019-08-01|2019-08-31,笔记本电脑配件,178864479,11.53%,11.05%,3.06%,301354,30.93%,26586,11.25%
2019-08-01|2019-08-31,单反/单电相机配件,177771670,3.60%,10.99%,1.76%,292822,30.05%,19655,8.32%
2019-08-01|2019-08-31,USB数码周边,150725278,-34.28%,7.29%,2.68%,366947,37.66%,28352,12.00%
2019-08-01|2019-08-31,数码周边,140362384,7.72%,6.44%,4.33%,241313,24.76%,25374,10.74%
2019-08-01|2019-08-31,平板电脑配件,128722032,11.86%,5.62%,2.02%,155483,15.96%,12385,5.24%
2019-08-01|2019-08-31,干电池/充电电池/套装,84970447,-1.07%,2.32%,2.04%,128936,13.23%,14493,6.13%
2019-08-01|2019-08-31,MP3/MP4配件,71066036,44.08%,1.47%,1.56%,108922,11.18%,10797,4.57%
2019-08-01|2019-08-31,家电影音周边配件,61578350,-22.77%,0.98%,1.55%,180005,18.47%,15148,6.41%
2019-08-01|2019-08-31,其它配件,46587889,9.04%,0.83%,0.33%,133182,13.67%,12046,5.10%
2019-08-01|2019-08-31,胶片相机配件,26827088,12.27%,0.43%,0.24%,91755,9.42%,2681,1.13%
2019-08-01|2019-08-31,数码包/收纳/整理,25835199,19.15%,0.40%,1.29%,174655,17.92%,11542,4.89%
2019-08-01|2019-08-31,数码相机配件,22723873,-0.95%,0.39%,0.20%,80336,8.24%,4560,1.93%
2019-08-01|2019-08-31,摄像机配件,13695404,-4.46%,0.12%,0.04%,34570,3.55%,2433,1.03%
2019-08-01|2019-08-31,车载手机配件,12485061,13.41%,0.12%,0.30%,181657,18.64%,9850,4.17%
2019-08-01|2019-08-31,电子书配件,2801989,25.37%,0.03%,0.09%,25474,2.61%,1637,0.69%
2019-08-01|2019-08-31,数码相框,2521720,21.32%,0.03%,0.00,9652,0.99%,163,0.07%
2019-08-01|2019-08-31,3G无线上网卡设备,949466,11.16%,0.01%,0.00,3229,0.33%,187,0.08%
2019-08-01|2019-08-31,电教产品配件,802256,-19.54%,0.00,0.01%,10197,1.05%,593,0.25%
