日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2017-11-01|2017-11-30,手机配件,794816675,5.28%,66.48%,76.76%,533285,68.91%,86596,56.45%
2017-11-01|2017-11-30,移动电源,195481479,54.20%,13.69%,4.21%,126102,16.29%,9577,6.24%
2017-11-01|2017-11-30,单反/单电相机配件,175328275,48.22%,11.19%,2.03%,168878,21.82%,12846,8.37%
2017-11-01|2017-11-30,笔记本电脑配件,165074971,11.72%,10.33%,2.90%,186626,24.11%,15586,10.16%
2017-11-01|2017-11-30,平板电脑配件,102406421,13.54%,4.96%,2.28%,146058,18.87%,9682,6.31%
2017-11-01|2017-11-30,数码周边,101329059,11.79%,4.85%,4.08%,176974,22.87%,16491,10.75%
2017-11-01|2017-11-30,干电池/充电电池/套装,78645117,24.75%,2.93%,2.26%,104596,13.51%,11296,7.36%
2017-11-01|2017-11-30,USB数码周边,53508466,52.36%,1.59%,1.09%,212033,27.40%,10625,6.93%
2017-11-01|2017-11-30,其它配件,47607800,21.25%,0.96%,0.49%,115443,14.92%,11361,7.41%
2017-11-01|2017-11-30,家电影音周边配件,34175433,12.15%,0.88%,1.19%,122547,15.83%,10404,6.78%
2017-11-01|2017-11-30,数码相机配件,28006072,48.37%,0.54%,0.28%,57883,7.48%,3494,2.28%
2017-11-01|2017-11-30,摄像机配件,18172821,36.82%,0.37%,0.06%,22914,2.96%,2093,1.36%
2017-11-01|2017-11-30,数码包/收纳/整理,17561273,29.77%,0.35%,1.27%,120458,15.56%,6592,4.30%
2017-11-01|2017-11-30,胶片相机配件,17349707,50.78%,0.33%,0.26%,47835,6.18%,1523,0.99%
2017-11-01|2017-11-30,MP3/MP4配件,10197451,38.95%,0.13%,0.38%,56503,7.30%,3946,2.57%
2017-11-01|2017-11-30,车载手机配件,8979165,26.21%,0.12%,0.28%,107177,13.85%,4862,3.17%
2017-11-01|2017-11-30,电子书配件,3769734,26.67%,0.04%,0.13%,20980,2.71%,1007,0.66%
2017-11-01|2017-11-30,数码相框,3043144,49.14%,0.03%,0.01%,7765,1.00%,159,0.10%
2017-11-01|2017-11-30,3G无线上网卡设备,2850183,41.49%,0.03%,0.01%,3199,0.41%,258,0.17%
2017-11-01|2017-11-30,电教产品配件,996621,-8.57%,0.01%,0.02%,6358,0.82%,451,0.29%
