日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-05-01|2019-05-31,手机配件,1066085285,4.31%,65.52%,73.16%,736894,72.36%,143486,57.69%
2019-05-01|2019-05-31,移动电源,189628792,2.32%,11.60%,3.15%,130767,12.84%,12370,4.97%
2019-05-01|2019-05-31,USB数码周边,183978426,65.83%,11.24%,5.89%,387332,38.04%,34615,13.92%
2019-05-01|2019-05-31,单反/单电相机配件,177777560,-2.61%,11.11%,1.98%,323982,31.81%,21710,8.73%
2019-05-01|2019-05-31,笔记本电脑配件,167727127,-3.67%,8.49%,2.53%,340672,33.45%,25423,10.22%
2019-05-01|2019-05-31,数码周边,130706597,0.89%,6.31%,4.40%,291012,28.58%,28815,11.59%
2019-05-01|2019-05-31,平板电脑配件,103753891,-14.10%,4.31%,1.70%,187571,18.42%,12568,5.05%
2019-05-01|2019-05-31,干电池/充电电池/套装,75060031,0.32%,2.14%,1.96%,144796,14.22%,15893,6.39%
2019-05-01|2019-05-31,家电影音周边配件,65824764,11.85%,1.56%,1.62%,209688,20.59%,16417,6.60%
2019-05-01|2019-05-31,其它配件,47697226,-9.40%,0.88%,0.39%,150869,14.82%,12884,5.18%
2019-05-01|2019-05-31,MP3/MP4配件,35179233,-1.07%,0.81%,1.26%,121911,11.97%,10462,4.21%
2019-05-01|2019-05-31,数码相机配件,23623145,-4.90%,0.43%,0.23%,88721,8.71%,4849,1.95%
2019-05-01|2019-05-31,胶片相机配件,21797530,31.59%,0.40%,0.24%,114168,11.21%,2602,1.05%
2019-05-01|2019-05-31,数码包/收纳/整理,18704376,-3.89%,0.34%,1.07%,202484,19.88%,12030,4.84%
2019-05-01|2019-05-31,摄像机配件,14902857,0.06%,0.30%,0.05%,39562,3.88%,2687,1.08%
2019-05-01|2019-05-31,车载手机配件,12493904,-3.06%,0.13%,0.29%,218912,21.50%,11363,4.57%
2019-05-01|2019-05-31,电子书配件,2298355,-0.59%,0.02%,0.08%,31628,3.11%,1563,0.63%
2019-05-01|2019-05-31,数码相框,1992266,16.75%,0.02%,0.00,9936,0.98%,192,0.08%
2019-05-01|2019-05-31,3G无线上网卡设备,1000530,-32.90%,0.01%,0.00,3974,0.39%,205,0.08%
2019-05-01|2019-05-31,电教产品配件,560379,-9.11%,0.00,0.01%,14301,1.40%,611,0.25%
