日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-04-01|2018-04-30,手机配件,787813595,-18.46%,66.96%,77.73%,,,,
2018-04-01|2018-04-30,移动电源,183974362,-22.87%,11.72%,3.10%,,,,
2018-04-01|2018-04-30,单反/单电相机配件,171415606,-8.81%,11.12%,2.22%,,,,
2018-04-01|2018-04-30,笔记本电脑配件,156822193,-25.43%,9.24%,2.66%,,,,
2018-04-01|2018-04-30,数码周边,104350524,-8.73%,5.58%,4.12%,,,,
2018-04-01|2018-04-30,平板电脑配件,100149213,-18.75%,4.88%,2.05%,,,,
2018-04-01|2018-04-30,USB数码周边,91458046,23.15%,4.02%,1.92%,,,,
2018-04-01|2018-04-30,干电池/充电电池/套装,58297164,-18.43%,2.32%,1.93%,,,,
2018-04-01|2018-04-30,其它配件,50747303,0.47%,1.59%,0.42%,,,,
2018-04-01|2018-04-30,家电影音周边配件,45913148,-14.07%,0.98%,1.28%,,,,
2018-04-01|2018-04-30,数码相机配件,23615582,-11.25%,0.50%,0.27%,,,,
2018-04-01|2018-04-30,数码包/收纳/整理,18748714,-18.60%,0.40%,1.10%,,,,
2018-04-01|2018-04-30,摄像机配件,17393097,-8.63%,0.35%,0.07%,,,,
2018-04-01|2018-04-30,胶片相机配件,14036217,-17.00%,0.32%,0.23%,,,,
2018-04-01|2018-04-30,MP3/MP4配件,11866818,-0.08%,0.30%,0.44%,,,,
2018-04-01|2018-04-30,车载手机配件,9727489,-8.31%,0.13%,0.33%,,,,
2018-04-01|2018-04-30,电子书配件,2767050,-31.95%,0.03%,0.11%,,,,
2018-04-01|2018-04-30,3G无线上网卡设备,2534557,-8.11%,0.03%,0.01%,,,,
2018-04-01|2018-04-30,数码相框,2322098,-8.63%,0.03%,0.00,,,,
2018-04-01|2018-04-30,电教产品配件,734515,-33.52%,0.01%,0.02%,,,,
