日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2019-12-01|2019-12-31,手机配件,1521841190,-0.36%,65.96%,74.97%,499452,67.00%,98048,53.28%
2019-12-01|2019-12-31,移动电源,193458752,-17.78%,11.69%,3.17%,71807,9.63%,9757,5.30%
2019-12-01|2019-12-31,单反/单电相机配件,181962117,-24.22%,11.09%,2.01%,198236,26.59%,16998,9.24%
2019-12-01|2019-12-31,笔记本电脑配件,176770594,-9.35%,9.10%,2.77%,208047,27.91%,21362,11.61%
2019-12-01|2019-12-31,USB数码周边,164520587,13.18%,7.81%,2.11%,238393,31.98%,18185,9.88%
2019-12-01|2019-12-31,数码周边,140075702,-9.43%,6.14%,4.46%,153045,20.53%,21424,11.64%
2019-12-01|2019-12-31,平板电脑配件,129440494,-8.29%,5.36%,1.98%,92549,12.41%,9485,5.15%
2019-12-01|2019-12-31,干电池/充电电池/套装,103092744,-2.38%,3.18%,2.79%,80833,10.84%,12625,6.86%
2019-12-01|2019-12-31,MP3/MP4配件,68732442,-8.61%,1.02%,1.89%,75187,10.09%,10167,5.53%
2019-12-01|2019-12-31,家电影音周边配件,50352639,13.82%,0.87%,1.32%,107910,14.47%,12042,6.54%
2019-12-01|2019-12-31,其它配件,48137246,-9.19%,0.83%,0.34%,82069,11.01%,10420,5.66%
2019-12-01|2019-12-31,胶片相机配件,35758350,11.70%,0.66%,0.31%,55787,7.48%,2535,1.38%
2019-12-01|2019-12-31,数码相机配件,28588714,-21.86%,0.45%,0.24%,45661,6.12%,4001,2.17%
2019-12-01|2019-12-31,数码包/收纳/整理,27505059,-9.15%,0.41%,1.24%,114289,15.33%,9441,5.13%
2019-12-01|2019-12-31,车载手机配件,17204854,-1.60%,0.27%,0.28%,112022,15.03%,8118,4.41%
2019-12-01|2019-12-31,摄像机配件,16250242,-9.06%,0.21%,0.04%,20486,2.75%,2352,1.28%
2019-12-01|2019-12-31,数码相框,3235812,-3.13%,0.03%,0.01%,5482,0.74%,179,0.10%
2019-12-01|2019-12-31,电子书配件,2791269,0.86%,0.03%,0.07%,15145,2.03%,1365,0.74%
2019-12-01|2019-12-31,3G无线上网卡设备,758048,-23.02%,0.00,0.00,1643,0.22%,139,0.08%
2019-12-01|2019-12-31,电教产品配件,692219,-12.42%,0.00,0.01%,4227,0.57%,485,0.26%
